variavel: Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faxinalzinho;293;398;471;374;400;321;271;217;204;172;78;91;100;95;78;76;96;2070;1562;111;66;57;61;51;71;74;85;83
Fazenda Vilanova;;;;;;;304;393;627;821;1092;1609;2999;4457;4911;7450;9585;10636;11964;10712;10295;10418;8462;8643;8008;2462;1782;1786
Feliz;13149;11251;9632;10303;11273;11631;10844;10744;9385;7044;6629;6014;6315;6181;11090;12084;12314;13871;14651;19964;24193;23375;26665;28997;26208;26227;26019;23699
Flores da Cunha;11942;14520;17361;16777;17516;18665;21424;25786;32943;36989;37011;38692;38952;41754;38845;39352;38760;36508;34967;38276;45282;56926;63824;68912;69048;66694;72920;76371
Floriano Peixoto;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
Fontoura Xavier;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Formigueiro;284;445;554;611;746;823;845;674;1015;1016;906;937;739;905;959;1101;1173;1337;2354;2008;2857;2444;2465;2550;2654;2545;3062;3155
Fortaleza dos Valos;467;513;481;464;522;465;576;764;519;452;522;532;563;412;479;389;426;422;356;341;264;93;89;84;65;60;69;75
Frederico Westphalen;5988;6054;6794;7188;7631;7310;1972;2251;2759;3384;4237;7746;9683;10797;11984;14633;17981;19381;21122;18851;23568;21615;22919;25159;27006;27816;25620;23311
Garibaldi;22003;23868;26396;29894;33579;36499;38549;41392;46303;52823;52872;55715;58561;66478;69646;68741;76975;89396;84959;64706;103318;100014;109493;114999;114769;110589;104385;106680
Garruchos;;;2;;82;86;108;169;541;550;514;338;149;110;145;140;173;188;158;174;215;206;237;228;219;260;281;245
Gaurama;668;716;719;650;699;807;793;392;438;669;854;939;1485;2442;3297;3126;4099;5177;5437;5565;6188;5768;7030;6486;5336;6321;6709;6643
General Câmara;230;373;386;574;887;367;168;154;181;202;144;107;100;70;79;57;119;70;53;53;39;63;40;53;32;34;23;19
Gentil;;;15;27;25;21;26;24;28;34;36;46;63;61;47;72;66;60;51;53;55;56;59;62;62;51;50;67
Getúlio Vargas;8230;5508;6250;7257;8541;7308;8885;9141;9480;8314;5883;5755;5793;6014;6338;6810;7460;7081;5217;5690;6226;6563;6388;6879;6532;6069;6554;6686
Giruá;1317;1888;4485;5985;6977;6253;6677;7062;6620;2253;3994;4545;3727;3573;3825;4477;3935;5244;5030;5941;5690;4576;4240;3450;3852;4136;4714;5419
Glorinha;229;261;303;428;507;576;505;584;669;929;1015;1322;1721;1471;1842;2227;2057;2219;1971;2111;2258;2412;2575;2637;2083;1933;1658;1734
Gramado;8644;9426;10787;11749;12389;12106;13306;12128;13488;15073;15862;15867;16166;17754;19378;19466;21265;21891;20085;22600;23699;22712;23653;23312;22636;20429;18718;17442
Gramado dos Loureiros;;;;;;;;;;;;;;;;6;4;;;;0;0;0;;;0;0;0
Gramado Xavier;;;20;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Gravataí;177171;186779;203864;230742;252986;259833;270626;272562;274720;365824;397411;398453;391905;421766;423922;322454;495133;485304;444344;292931;505235;479010;548461;530388;472568;438366;469859;485045
Guabiju;40;40;44;53;62;61;74;70;72;87;96;320;601;590;668;640;873;1123;1196;1194;991;901;978;1049;1039;847;1222;1313
Guaíba;50089;60444;70441;67478;68933;77793;83129;118411;138616;179648;162964;220553;217311;178415;134248;66855;58498;38004;36338;38539;36003;20424;14531;19904;19490;15185;15473;14037
Guaporé;6033;5796;7317;8677;9698;9961;10722;10135;11354;14361;12837;12233;12563;14207;13707;14257;16331;17042;14547;16329;16877;15593;16290;18261;17459;17696;18533;19336
Guarani das Missões;2096;2377;2217;2341;2257;2478;2436;3629;3827;4027;4487;4256;4594;4390;4241;4564;4549;4400;4660;4607;4455;4195;4238;4052;3508;3925;3698;4013
Harmonia;1211;1402;1559;1559;1739;1900;2038;1877;1868;2168;2377;2485;2746;3218;3468;3497;3703;3507;3477;4037;4816;5081;5421;5627;5931;6140;6398;6674
Herval;95;125;251;118;58;44;52;54;59;22;7;5;5;3;2;3;12;177;216;124;140;3263;1529;130;105;69;59;50
Herveiras;;;;;;;1;1;4;7;10;13;11;12;13;13;12;10;4;3;2;3;5;4;4;3;2;3
Horizontina;7498;10889;12184;14846;11234;15495;21322;20682;18368;21823;25112;28804;34827;37054;25707;21235;28120;30153;22673;27757;26382;22395;30077;29328;22943;24509;27188;29328
Hulha Negra;;;;;;3115;4652;4682;5635;6611;6385;7496;7958;8773;7507;8344;9284;9601;10099;11639;1575;3124;805;724;784;878;1188;1198
Humaitá;475;516;560;585;686;672;742;619;525;566;634;685;672;652;780;997;891;1014;821;871;694;99;68;60;69;52;65;36
Ibarama;100;106;87;92;84;98;74;81;202;333;359;328;396;392;401;397;350;384;402;484;510;503;507;442;618;580;928;905
Ibiraiaras;483;495;471;597;582;635;635;550;508;634;673;779;935;955;862;894;685;311;135;130;122;206;251;306;461;400;566;512
Ibirapuitã;230;92;104;139;170;160;187;213;159;162;192;198;218;216;235;200;162;161;170;202;202;180;168;183;182;184;159;115
Ibirubá;1417;1638;1990;1912;1832;916;595;964;1201;1228;1216;1603;1566;1761;1415;1206;762;996;847;606;559;479;497;466;371;354;454;420
Igrejinha;11527;12493;14411;13260;13998;15044;14908;16113;16529;18752;18068;18699;19096;23164;34059;35690;37778;39026;38461;41069;41809;44171;50703;52212;47699;45587;48672;47842
Ijuí;;;3;;1;;;1;;3;;;;;;;;;;;0;0;0;;;0;0;0
Ilópolis;269;294;339;377;411;483;480;568;530;560;658;758;775;794;754;707;709;691;634;699;676;683;758;775;835;816;865;955
Imbé;295;333;325;462;426;521;539;481;569;605;537;487;466;455;464;466;488;440;499;615;614;712;727;526;384;446;413;367
Imigrante;2791;1734;2223;2457;2323;3018;3506;3676;3904;4394;3758;3260;4966;6187;6748;7138;9076;9426;7845;13251;14405;14145;20348;17449;14140;16259;18453;18655
Independência;66;86;120;133;180;177;177;233;390;520;551;566;663;726;685;790;934;970;795;888;918;950;981;1028;834;892;983;1111
Inhacorá;;;11;2;;;;;10;12;18;20;20;9;11;11;12;11;6;10;6;4;4;1;1;1;2;2
Ipê;417;413;435;447;505;455;614;840;872;912;841;721;856;818;815;812;892;656;689;633;578;548;645;1393;2130;2074;2039;2032
Ipiranga do Sul;150;220;175;194;245;223;221;280;243;307;361;279;325;334;306;314;311;245;235;160;174;175;153;148;158;143;105;106
Iraí;379;367;331;349;332;356;267;230;249;238;243;207;201;179;161;146;153;138;115;132;126;123;206;221;243;221;226;241
Itaara;;;;;;;799;2074;1102;1064;1104;1174;1308;1459;1561;1858;1609;1491;1498;2111;1615;1529;1453;1766;1469;1477;1570;1472
Itacurubi;46;99;98;130;147;111;108;75;82;82;57;62;73;102;109;90;54;42;47;46;55;63;66;74;39;23;10;4
Itapuca;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Itaqui;15597;17288;23568;25560;27414;27292;30772;24781;30949;31546;26127;19188;13760;16791;20880;26890;22739;25071;25673;29144;36685;43671;40849;41595;39978;39632;40109;38323
Itati;;;;;;;;;;;482;347;211;170;149;269;180;151;173;177;168;152;240;475;383;440;557;596
Itatiba do Sul;53;60;65;66;72;76;78;79;74;76;85;84;82;99;91;86;95;71;73;89;73;70;70;134;155;201;182;212
Ivorá;;;;;;;;;1;1;;;;;20;36;40;27;29;35;35;43;33;50;75;69;59;51
Ivoti;20072;20353;17547;16338;14160;18410;18349;16386;18896;20737;19109;20002;21112;22150;24242;25300;23498;22462;20754;21933;22860;24102;25906;25836;23643;23655;23785;25886
Jacutinga;222;311;257;280;292;267;447;661;724;818;757;803;989;1319;1296;1160;1042;798;881;1301;1200;1087;1110;588;1091;1022;994;773
Jaguarão;1852;1523;1799;1655;1751;1452;1439;1376;1263;1766;1235;1249;1391;1612;1616;1392;1692;1641;1487;1261;1238;590;1211;1513;1713;1904;1742;1428
Jaguari;1281;1632;1636;1943;1410;1272;1472;1300;1481;1630;1500;1477;1315;1324;1538;1571;1589;1540;1524;1368;2017;1421;1081;1112;1073;1123;972;1002
Jaquirana;1008;927;1075;1268;1477;1555;1720;2044;2331;2308;2089;1979;2145;2113;1673;1359;1255;1320;1251;1211;1344;1268;1347;1400;1424;1500;1519;1509
Jari;;;;;;;;;;;1;0;;;0;0;;;;;0;0;0;;;0;0;0
Jóia;342;538;656;758;717;560;698;908;835;733;1275;841;822;525;413;399;433;199;187;215;228;186;218;256;227;216;202;228
Júlio de Castilhos;1863;2863;3384;3557;4159;5271;2647;5641;4885;4290;4616;5526;7385;8385;8744;8816;9360;2166;3406;963;2048;825;2114;3541;4315;3699;1472;2689
Lagoa Bonita do Sul;;;;;;;;;;;;;;;;0;1;0;1;1;1;1;2;2;2;2;4;2
Lagoa dos Três Cantos;;;97;130;150;161;167;169;165;182;214;172;189;195;203;253;192;214;236;259;215;26;62;79;83;90;87;88
Lagoa Vermelha;4709;4905;5819;7220;7443;7146;7504;6841;7206;8243;9193;9041;9025;10572;10568;11544;13372;14513;13639;16643;18278;20015;22020;21535;18831;18466;18554;19387
Lagoão;;;;;;;4;;;;;;;;;;;;;;0;0;0;;;0;0;0
Lajeado;43723;36323;38323;43268;51107;60729;62877;68959;72642;80100;81309;83405;85847;86531;85231;88353;90908;99038;88835;100222;111426;116809;112970;116557;114183;116663;119575;120377
Lajeado do Bugre;;;6;12;9;;20;23;10;;;;;;;;;;;;0;0;0;;5;114;209;238
Lavras do Sul;113;67;87;100;75;52;91;83;116;106;91;115;89;87;62;56;69;79;78;82;157;65;50;56;47;42;35;29
Liberato Salzano;165;126;123;122;119;121;119;160;154;175;206;188;191;191;307;294;284;298;325;291;341;374;841;749;736;922;1024;1194
Lindolfo Collor;;;5295;5541;5107;5311;5091;6278;7070;7494;7460;7936;8504;10908;12186;14399;14506;14067;12346;12951;11991;12137;14080;15916;13192;13883;14576;14977
Linha Nova;;;44;63;77;66;109;44;37;50;43;46;56;64;62;63;115;174;216;256;275;314;347;357;314;232;215;190
Maçambará;;;;;;;;21;8;11;12;15;115;164;210;163;153;383;1079;856;1331;1187;1388;1422;1521;1185;1267;1702
Machadinho;205;227;140;133;120;131;156;164;165;176;218;180;190;159;171;186;235;140;91;99;81;81;96;89;87;88;81;90
Mampituba;;;;;;;10;9;19;15;16;20;15;12;17;9;3;0;;;0;0;6;58;67;73;70;73
Manoel Viana;;;242;260;325;311;409;352;429;482;511;452;446;394;457;420;374;319;394;320;521;351;452;463;201;152;112;116
Maquiné;;;589;717;798;836;874;1147;987;1151;905;775;785;765;1148;3871;4992;1938;3715;2865;1505;1131;879;945;895;843;1015;1143
Maratá;;;373;406;361;426;360;331;459;543;648;719;741;736;715;796;839;829;819;993;880;733;645;631;578;474;314;381
Marau;22321;26736;24822;23866;31397;39612;49737;58034;68940;68480;71334;72196;83296;88486;100930;102501;110944;111657;106515;108787;108628;111140;120210;121784;111114;108171;109684;109340
Marcelino Ramos;886;1003;1034;1033;1066;1178;1080;1403;1613;1210;988;1091;1664;2046;2163;2116;2121;2498;2537;2629;2531;2484;2459;2712;2719;2631;2677;2669
Mariana Pimentel;;;54;77;75;79;73;84;120;90;103;111;125;104;123;117;123;112;110;109;145;120;144;136;132;122;128;66
Mariano Moro;127;57;70;61;64;67;76;71;69;50;42;39;36;30;39;41;53;63;55;49;48;39;39;43;36;18;21;23
Mata;165;204;212;274;276;299;201;208;279;284;298;313;293;318;427;417;559;985;772;630;1207;1334;1360;1372;2416;3047;3263;3912
Mato Leitão;;;1063;1301;1440;1652;1632;1630;1842;2286;2384;2594;2757;2763;2602;2271;2886;3524;3848;3637;4217;3177;2604;2692;2732;3083;3210;3283
Maximiliano de Almeida;327;211;220;195;213;299;290;1491;10133;17107;19642;3696;347;261;220;221;263;241;241;249;279;245;242;239;236;233;197;204
Minas do Leão;;;4738;4401;3780;3094;2761;2208;2165;2423;1986;1381;1043;1026;1249;1566;2400;3236;2812;2599;1930;2214;2988;4731;4469;3995;1059;983
Miraguaí;19;21;22;20;31;33;29;31;25;18;16;171;228;276;565;661;967;1181;1395;3911;4774;5431;6852;7633;8504;8365;9462;9703
Montauri;33;30;34;33;35;44;40;50;58;178;157;304;382;410;494;450;500;1392;1832;2034;2059;2087;2309;2575;2914;2752;2949;2537
Monte Alegre dos Campos;;;;;;;15;45;42;32;24;18;17;20;32;23;19;23;35;29;16;1749;244;44;36;32;31;104
Monte Belo do Sul;;;27;24;41;36;36;56;56;54;67;104;172;110;109;116;4323;7372;6919;179;7176;7537;7837;6516;4753;4039;3717;3643
Montenegro;37918;38496;39660;41517;43777;43229;42115;44919;51779;58409;69839;83197;83649;91404;93401;95230;101841;106387;134239;186977;176556;234186;251171;263969;255355;241436;243568;256427
Mormaço;;;104;140;175;158;128;210;202;210;282;235;237;201;198;211;215;238;207;259;299;10;7;8;9;197;212;220
Morrinhos do Sul;;;56;61;64;69;87;81;78;78;77;76;73;79;75;76;86;59;43;49;49;52;55;57;48;39;46;38
Morro Redondo;890;564;680;850;960;797;670;1673;2206;2811;3256;3326;2970;3212;3101;3285;3223;3445;3155;3306;3442;3529;3386;3862;3824;1322;1145;956
Morro Reuter;;;1443;1725;1937;2323;2689;2887;3679;4655;4380;4304;4607;5173;6115;6420;7132;7804;7275;7831;8130;8670;8946;9736;9224;9201;10272;10076
Mostardas;1727;1901;1722;1974;1806;1989;1817;1566;1886;2915;2008;1776;2152;2763;2534;2093;2435;2563;2508;2089;2742;2459;2776;3273;2708;2533;2980;2750
Muçum;6567;6214;7039;6783;7767;8283;5374;2872;2969;3882;3329;3114;3527;4431;5046;7231;8420;7506;6523;7656;7416;7848;8127;8439;7525;7943;9085;8883
Muitos Capões;;;;;;;148;225;69;62;345;455;831;470;617;400;832;679;487;744;1091;331;876;2938;5557;7047;9290;10506
Muliterno;;;;;;;;;;;;;;0;0;0;;;;;0;0;0;;;0;0;0
NãoMeToque;2085;2786;3547;4145;3848;4168;5131;5507;5275;6149;6977;7994;9704;10437;7500;8250;11252;14362;12834;16582;18740;20326;21977;20575;15519;13492;14396;15096
Nonoai;625;695;706;733;812;866;885;1213;931;771;858;664;876;825;777;879;1015;922;934;938;979;880;976;1157;1172;1067;1231;1075
Nova Alvorada;;;12;3;21;14;20;19;11;7;5;5;5;5;8;6;4;7;9;4;5;6;6;6;8;7;11;94
Nova Araçá;1218;1253;1693;1847;2089;2829;1615;1710;2052;2550;3562;6120;5658;6432;7230;11587;16227;19271;16520;20025;21110;18281;19944;21502;22534;26567;25947;23234
Nova Bassano;7751;6027;5852;6697;7825;8014;9598;10712;10738;13683;16324;18766;18193;20565;21435;21769;24246;25313;20619;22237;22785;20450;23924;26383;22421;18298;17627;19091
Nova Boa Vista;;;68;135;130;155;226;297;357;441;422;355;374;387;360;390;478;375;362;503;604;640;811;952;1067;1378;1861;2234
Nova Bréscia;113;75;113;226;174;72;79;80;105;114;115;114;107;117;126;132;130;223;268;379;482;629;654;757;812;896;874;974
Nova Candelária;;;;;;;147;196;183;121;30;49;90;110;120;124;132;190;705;923;1165;1563;1780;1779;1968;2119;2377;2257
Nova Esperança do Sul;1543;1772;2088;2244;2177;2433;3311;4557;5548;6011;7656;9684;10335;9968;8622;6572;7550;6889;6619;6703;7255;7282;7458;7162;7249;8411;9389;9600
Nova Hartz;5866;6722;8539;8922;8292;9265;9465;9089;10019;11014;10788;10649;11451;11534;11588;12386;13825;14513;15525;17547;17033;15386;16380;16820;15213;14698;14291;13694
Nova Pádua;;;89;95;107;110;121;143;195;311;263;244;265;327;237;238;230;267;163;186;301;351;405;422;365;344;439;346
Nova Palma;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Nova Petrópolis;9224;9731;5754;6052;6577;7092;7769;9583;11231;12237;12247;11569;13692;15584;15552;16041;18247;19806;19607;21422;21091;21104;23004;25701;26118;27071;25498;24431
Nova Prata;13078;11493;13884;18675;23236;27494;30494;36157;45789;51064;56358;62558;70916;86531;85678;90636;96364;105639;73863;61008;19032;17812;16424;17228;17672;15408;16153;14880
Nova Roma do Sul;377;380;372;404;487;598;930;754;718;657;915;1001;1037;1689;2147;13574;16992;5967;4089;4858;4788;4768;5423;5396;4581;3843;4977;5077
Nova Santa Rita;;;36331;36566;39903;42697;44317;45820;45340;49736;51026;50885;53528;50476;30298;19403;20694;22981;20268;22760;22922;69287;65712;66369;59337;46681;42243;40255
Novo Barreiro;;;97;171;160;166;157;162;140;135;108;86;116;570;309;320;126;109;90;135;150;153;166;157;131;146;138;184
Novo Cabrais;;;;;;;;2;148;81;;;;;;;;;;;0;0;0;;;0;0;23
Novo Hamburgo;152746;162703;185262;190701;179294;183108;188594;174010;190627;208379;209519;208250;213535;221832;212778;209651;220022;216716;190649;208782;206688;200834;193009;187497;165384;160088;160383;157246
Novo Machado;;;27;34;32;37;37;51;52;48;37;27;31;38;34;33;36;36;35;41;33;23;21;20;17;17;19;20
Novo Xingu;;;;;;;;;;;5;10;20;19;3;5;9;9;10;19;27;18;17;10;9;15;8;6
Osório;13651;13148;12842;13906;15106;15925;15158;16014;19897;23404;23270;22634;22525;25370;25026;26370;28996;33219;35677;36340;35220;33032;36939;11932;12358;12226;7274;7576
Paim Filho;136;247;172;162;158;174;168;199;188;252;280;254;262;242;160;167;164;138;128;127;119;114;89;140;204;136;157;88
Palmares do Sul;3493;3730;4050;5016;5888;5768;4892;3819;4436;4655;3690;3678;4180;5153;4822;4608;4868;5506;5889;6327;6396;5261;5432;7129;5707;4581;5189;4625
Palmeira das Missões;3377;2640;2358;2285;2623;2618;2610;2851;2715;3079;3032;2867;3270;3210;2638;2303;1932;3481;5924;5830;5699;4816;5172;5172;4146;3726;4022;4245
Palmitinho;117;149;99;229;298;308;301;322;257;310;344;385;383;407;438;475;468;537;591;714;589;635;614;500;625;667;681;679
Panambi;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Pantano Grande;5352;6081;6727;7092;5042;5573;6121;6402;6494;7221;6372;6883;7272;6488;6200;6585;7007;8251;8532;9467;10616;11317;11944;11494;10612;10544;8048;8501
Paraí;1704;2017;2339;2668;3068;3377;4020;4992;5824;6316;7359;8278;9932;10404;10014;10046;10969;10958;10311;10222;10928;10478;11106;11383;11171;11337;11243;11125
Paraíso do Sul;29;36;24;;186;363;310;318;355;381;367;366;294;300;235;233;103;30;29;22;19;21;20;24;23;24;25;19
Pareci Novo;;;170;186;192;261;319;305;337;393;388;365;418;450;417;354;335;372;333;348;372;454;482;848;1264;1710;1898;1648
Parobé;20873;21786;26145;26634;29714;34498;38565;42442;47557;51870;52414;46204;46064;52642;49131;41631;42668;37728;31154;34399;34552;29757;32151;33109;30717;27951;28614;31385
Passa Sete;;;;;;;9;10;14;15;21;18;22;25;26;24;22;24;25;29;35;32;28;18;7;6;5;5
Passo do Sobrado;;;260;330;579;696;946;897;563;558;563;245;620;634;591;594;625;613;650;787;917;1113;1147;1513;1365;1208;1202;467
Passo Fundo;50642;50468;55580;62260;64009;66024;62398;62469;61543;71977;79584;92621;101418;109677;98368;96064;104131;109462;98144;107915;131718;115898;133675;127061;113327;108274;109556;106440
Paulo Bento;;;;;;;;;;;5477;5770;6580;7667;7755;7788;8294;8689;8095;7942;9021;8788;9259;9724;11766;15691;18885;17461
Paverama;573;936;1032;1144;929;1094;699;916;1280;1622;2285;2522;2167;2618;1239;942;1391;1503;1302;3333;5091;5498;6332;5127;3252;4846;4690;3689
Pedras Altas;;;;;;;;;;;;;;;;15;26;36;36;53;59;68;53;211;57;56;52;49
Pedro Osório;1275;1259;1317;1082;1078;1228;630;325;431;416;375;243;182;223;242;509;270;525;612;683;784;772;751;708;705;809;566;584
Pejuçara;836;863;895;956;1029;890;934;959;762;632;724;809;775;716;689;725;730;681;731;705;553;140;191;120;118;112;124;115
Pelotas;92846;79945;81601;78147;80033;78390;80595;81528;86049;95993;99150;102023;98475;103364;105866;113369;120343;127091;122892;124487;136095;133541;130838;130697;130332;92690;49158;50382
Picada Café;;;5065;5702;5979;6080;5498;6009;6635;7262;5817;5274;5685;7056;7818;8861;9648;11073;10375;11086;10974;10946;11492;10017;8060;7775;7138;7308
Pinhal da Serra;;;;;;;;;;;27;29;33;24;14;15;18;10;11;571;1897;8;8;9;9;17;27;52
Pinhal Grande;;;97;129;105;136;138;162;153;193;266;194;280;248;201;223;119;114;97;81;70;57;59;64;72;71;87;101
Pinheirinho do Vale;;;19;26;99;105;139;154;158;161;181;222;226;233;214;245;301;321;361;392;434;434;451;413;433;384;367;362
Pinheiro Machado;55013;43530;43208;48849;55179;46302;45543;48260;51819;42732;31142;34942;29047;29008;23986;12020;26040;56289;56623;56567;60992;59070;58379;4820;300;500;121;96
Pinto Bandeira;;;;;;;;;;;;;;;;;;;;;;;371;499;672;867;1111;1060
Pirapó;45;51;59;60;62;54;51;61;50;55;59;60;58;52;53;42;9;6;4;5;3;3;1;;;0;6;8
Piratini;283;731;999;977;1063;1270;1494;1928;2157;2563;2468;2272;2725;2276;2912;2637;2468;2418;2170;2147;2219;2538;2525;2578;2278;2408;2629;3057
Planalto;673;659;732;1044;631;795;775;856;965;984;1085;1140;1255;1288;1212;1371;1424;1611;1580;1565;1849;1990;1984;1803;1500;1498;1664;2234
Poço das Antas;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Ponte Preta;;;20;24;29;31;28;24;26;25;24;26;28;31;380;674;665;794;1082;986;752;599;393;97;104;105;111;417
Portão;21620;20541;22627;24049;24219;25008;26110;26677;28328;32806;34788;37242;37723;38528;38088;45716;56431;53199;49427;52065;55421;52587;54585;53743;49171;47660;48522;49964
Porto Alegre;351542;323781;342103;341913;350048;340206;345179;354723;344511;347897;367862;351988;336415;356098;351042;338161;325195;364686;350136;362876;370918;361124;308334;290740;259632;199897;152235;141880
Porto Lucena;120;127;132;121;170;186;177;186;152;159;145;135;131;106;60;71;67;56;43;46;53;43;37;38;38;35;29;16
Porto Mauá;;;31;43;56;53;55;47;51;45;46;49;50;52;47;48;53;40;25;31;24;6;7;7;5;5;4;4
Porto Vera Cruz;;;15;;;2;18;12;2;5;5;3;4;6;6;6;5;1;1;0;1;0;0;1;1;1;1;1
Porto Xavier;322;410;427;413;339;383;381;473;479;422;426;488;484;425;394;393;498;361;340;360;497;241;283;321;327;263;267;267
Presidente Lucena;;;829;817;822;946;925;1136;1160;1302;1253;1321;1436;1451;2852;3626;3738;4609;4222;4367;5219;6352;7380;8415;9171;10198;11933;11923
