variavel: Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Protásio Alves;291;348;438;368;297;313;416;453;689;818;753;631;705;758;643;669;793;209;44;112;421;522;654;672;800;725;525;527
Putinga;;;;;;;;;;;;;;;;;;;;;0;0;357;1589;1928;1647;2013;833
Quaraí;1034;628;614;565;554;414;426;569;705;1415;3926;716;650;820;433;421;402;401;359;226;296;273;400;462;547;559;440;457
Quatro Irmãos;;;;;;;;;;;233;273;261;199;118;137;169;161;186;215;205;160;162;200;173;150;108;125
Quevedos;;;47;44;24;29;46;26;59;45;41;43;68;60;61;44;83;154;145;161;187;160;100;82;95;109;89;98
Quinze de Novembro;180;201;178;207;202;236;236;190;149;186;215;205;199;246;309;260;181;208;267;238;190;224;197;302;186;95;78;96
Redentora;223;242;260;230;201;187;193;180;188;209;211;187;194;178;183;215;253;279;278;267;284;36;13;15;13;17;18;18
Relvado;31;24;31;28;39;49;41;29;40;38;51;57;54;58;62;102;133;146;119;146;169;176;186;186;182;160;186;170
Restinga Sêca;16;16;22;34;63;62;55;32;47;90;54;17;15;;;1;1;0;;;0;0;0;;;0;0;0
Rio dos Índios;;;6;;;;;16;21;19;22;21;19;16;18;17;16;11;8;8;7;9;4;1;28;28;22;21
Rio Grande;116187;154655;165874;174186;173362;143414;150087;160775;140788;160827;160680;160594;182503;145398;126925;88394;88579;93326;84656;90671;104996;115906;98819;97692;79590;67493;68827;70410
Rio Pardo;6670;6715;6770;7392;8212;9208;9350;9317;8573;11747;10119;8518;7734;8768;10616;9269;10315;12048;14055;14856;14743;14835;15940;15918;13547;12896;13767;16212
Riozinho;1421;1491;1754;1897;2078;2203;2209;2065;2335;2540;2590;2982;2787;3206;2814;2703;2940;3165;3109;3438;3624;3591;3807;3588;3392;3231;3230;3261
Roca Sales;9290;6707;7327;7109;5535;6090;6454;8536;9811;10890;11601;11429;13612;16293;17689;18955;19017;18449;18551;20095;9676;13211;12522;12350;12785;14555;14617;14412
Rolador;;;;;;;;;;;;;;;;0;1;0;;;0;0;0;;;0;0;0
Rolante;5378;5927;6532;6577;6798;7257;7715;8096;8740;9323;7540;7134;7431;7258;6915;6699;8130;8502;8082;8935;9323;9326;10490;10572;9600;9440;9475;9910
Ronda Alta;423;456;451;392;376;395;430;577;491;435;588;597;636;519;592;667;801;764;813;703;587;249;229;209;198;190;159;138
Rondinha;161;130;135;123;172;121;128;171;182;278;225;153;149;166;392;466;512;629;353;230;220;174;164;286;561;1070;1018;944
Roque Gonzales;234;198;227;225;336;254;1102;813;814;386;256;237;245;273;296;318;396;1319;3340;2508;2023;221;165;185;180;119;113;126
Rosário do Sul;4082;5499;5677;4419;4839;4735;5130;3685;4603;4917;4720;3588;2846;3553;3977;4023;5476;7993;8201;8290;8888;5894;5674;6232;5960;5548;5421;4910
Sagrada Família;;;32;46;30;32;27;38;25;34;39;35;36;49;42;47;63;90;40;40;43;28;25;12;37;58;56;45
Saldanha Marinho;179;145;171;191;310;337;279;314;314;257;352;262;361;320;337;417;441;431;458;424;426;352;393;389;294;268;264;281
Salto do Jacuí;415;537;598;559;535;577;597;780;617;722;883;794;837;822;1329;1273;1108;1015;695;460;176;181;172;163;185;155;163;291
Salvador das Missões;;;198;513;808;742;715;661;554;679;866;867;1028;1061;1013;968;866;985;1141;1195;1392;1570;1552;1550;1659;1973;1468;1125
Salvador do Sul;495;264;47;46;54;50;91;106;155;169;192;191;22;23;29;41;46;49;44;41;41;36;39;50;60;61;62;60
Sananduva;3222;3565;3603;3801;4012;4466;5001;5414;5258;5775;6056;6185;6712;6996;7414;7598;7759;8252;8403;8866;8536;7932;8492;9625;10135;9693;10185;10412
Santa Bárbara do Sul;804;966;1052;1095;1093;1182;1162;1440;1172;1396;1580;1405;1556;1505;1202;1003;881;692;645;696;676;609;656;532;550;597;596;680
Santa Clara do Sul;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Santa Cruz do Sul;78597;106500;115899;101012;96623;102728;158546;122146;133523;154354;133541;144446;142599;173471;171227;153944;148189;143729;141134;134743;140976;139470;141538;150206;136621;122121;139250;142998
Santa Margarida do Sul;;;;;;;;;;;;28;267;299;429;422;968;630;405;722;1012;1247;1016;1139;776;853;758;797
Santa Maria;20345;20621;20884;21651;24250;25971;26312;27150;28135;29454;29484;32233;32436;32454;34616;39477;40085;42077;44810;46888;48975;49648;52671;56607;54808;56173;59949;61860
Santa Maria do Herval;1119;1157;1400;1409;1747;1862;2212;2195;2737;2906;3414;3849;4342;4563;4707;4445;4061;3913;4378;5062;4841;5107;5322;5449;5747;5802;5770;5594
Santa Rosa;27271;26411;28178;30645;30010;29979;29683;32133;34338;37983;45194;44461;37711;48214;50468;56004;64125;75125;67455;58284;82952;80964;88226;78660;73230;74945;85510;85272
Santa Tereza;;;104;187;514;410;453;434;531;625;816;1114;1178;1217;952;698;536;594;576;911;772;659;745;344;379;414;316;201
Santa Vitória do Palmar;2760;2948;4237;4389;3329;3701;3518;2522;2720;2869;2628;1868;2201;2945;2926;2152;1957;17859;1261;958;1043;734;431;880;681;808;1035;1842
Santana da Boa Vista;74;64;68;55;42;27;22;12;17;16;12;12;24;13;19;21;20;14;7;7;8;170;165;259;110;81;87;92
Santana do Livramento;20941;24839;22322;12634;15142;4810;5982;8881;19985;17122;10161;6210;3047;2468;2639;2582;2338;2732;2250;2654;2426;2114;2254;2825;2851;2508;2896;1707
Santiago;2983;2111;2253;2461;2647;2741;3109;2869;2561;3198;3103;2962;2273;2557;2591;2505;2125;2015;1716;1813;1903;1954;1906;1763;1584;1896;2106;1831
Santo Ângelo;18071;17866;20739;22978;19796;21890;24970;20378;19088;21696;28437;36323;44250;47232;43222;42356;51365;55573;46887;64769;73433;57502;73879;70704;58277;62354;70795;86460
Santo Antônio da Patrulha;9218;7721;7628;8599;7747;7567;8710;8935;10536;11626;11640;11861;10685;11637;12346;13004;14394;5371;19386;22041;28525;30621;36879;37990;36298;34422;27583;24277
Santo Antônio das Missões;928;29;44;16;32;19;26;17;24;36;10;;;57;75;66;72;69;72;73;88;76;98;101;99;73;81;63
Santo Antônio do Palma;;;42;57;133;125;125;158;156;172;161;167;182;234;268;237;268;302;287;339;554;675;686;642;539;716;822;777
Santo Augusto;1729;2248;2276;2260;2053;1706;1646;1853;1239;1429;1758;1638;2134;1770;1656;1335;1426;1453;1442;1948;1722;1328;1613;2383;2413;2325;2483;2523
Santo Cristo;725;786;822;841;957;1098;1175;1971;1443;1643;1702;1702;1917;1864;2058;2030;1914;2046;2147;2252;2497;2495;3116;2785;2493;2447;2478;2694
Santo Expedito do Sul;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
São Borja;12308;15620;16927;17289;19970;20221;20838;17373;19675;22707;22490;25118;22161;27745;34579;34812;36619;40305;41937;42052;43893;43879;45888;44544;40879;35926;36790;38165
São Domingos do Sul;68;67;84;92;112;104;111;102;129;144;153;160;184;153;149;162;174;159;148;163;168;154;155;149;176;649;1188;1653
São Francisco de Assis;939;1087;949;831;728;944;868;1074;992;929;877;949;928;1096;750;930;605;506;321;151;259;147;73;34;24;25;25;27
São Francisco de Paula;5153;3953;5038;5420;5292;5275;6266;6704;5866;5597;5482;6447;6697;8829;8151;5387;3881;4519;5230;4506;4794;4488;4627;5140;4888;4608;4308;4619
São Gabriel;6887;6852;6250;7643;9855;7320;5518;4755;5382;6080;5503;6055;6229;7575;9205;9761;8439;9229;13005;13775;15262;13716;12203;15059;16821;16912;18520;20693
São Jerônimo;3976;892;859;747;834;943;971;1090;1330;1958;1747;2020;2064;2183;2638;3582;4212;2303;5181;6046;7777;9099;9615;10789;10967;11096;11387;10906
São João da Urtiga;116;101;98;333;347;396;210;126;58;80;92;116;159;149;142;122;133;134;147;162;191;199;223;201;181;192;239;183
São João do Polêsine;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
São Jorge;219;286;303;366;355;323;620;541;141;397;731;719;882;993;1081;1142;1292;1120;889;924;880;851;847;918;877;984;1027;1174
São José das Missões;;;12;22;55;36;32;32;38;48;48;46;41;38;33;33;37;51;44;34;34;33;41;43;41;30;24;24
São José do Hortêncio;1324;1463;2070;2515;2691;3053;3298;3428;4344;4589;4494;4055;3985;4833;5051;5203;4946;4955;4710;5253;5430;5936;6296;5974;4887;4787;4412;4493
São José do Inhacorá;;;26;45;55;67;92;184;231;224;106;128;104;104;108;100;107;129;132;188;315;387;464;393;355;356;418;1695
São José do Norte;1605;1741;1985;1755;1033;155;137;80;216;688;1519;1561;1801;1444;2225;1950;2153;1681;2637;3183;3504;3564;3005;3470;5739;8070;12229;5480
São José do Ouro;458;563;522;559;565;500;539;610;513;548;726;643;782;693;542;678;740;725;594;593;561;275;317;410;358;361;450;459
São José do Sul;;;;;;;;;;;;;153;159;172;182;206;225;213;223;236;244;280;420;623;764;775;849
São José dos Ausentes;;;460;537;542;634;828;869;983;1081;874;699;882;976;943;900;910;593;1495;1039;862;981;779;633;923;971;1041;1281
São Leopoldo;136948;112799;124308;131168;139824;142036;146162;150382;154946;169153;172698;160394;179018;204748;214640;218411;245910;254825;215600;248273;256755;265382;271027;280410;252887;235430;242235;249577
São Lourenço do Sul;9677;10474;11864;11533;10346;11305;10922;7258;6694;7733;7331;6794;6028;6108;5444;5214;5670;5912;6046;6244;6253;5344;5431;6263;6865;6807;6855;7347
São Luiz Gonzaga;4382;4688;5561;5508;6942;6084;7854;11942;9545;6998;11393;13044;11576;7665;7816;8955;9462;11341;11442;12584;13164;18133;21243;15732;14023;13519;18836;21040
São Marcos;8452;8147;10280;11019;13592;14035;14327;15501;16680;18059;17659;16801;18480;19845;21025;22210;24497;25863;22230;26482;30444;31671;33185;32656;32988;32369;32995;34522
São Martinho;371;351;308;331;369;314;369;367;329;381;435;415;496;485;459;528;412;391;384;444;728;501;597;980;562;696;639;703
São Martinho da Serra;;;7;11;31;23;25;21;31;32;33;23;20;38;59;55;73;83;67;65;65;55;56;57;49;58;40;10
São Miguel das Missões;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
São Nicolau;108;124;118;134;207;157;189;149;104;117;126;123;128;98;97;109;125;136;114;130;134;56;31;28;28;38;30;25
São Paulo das Missões;84;109;93;95;115;86;115;115;493;184;244;245;219;212;188;175;117;114;105;125;123;103;84;90;83;80;78;81
São Pedro das Missões;;;;;;;;;;;15;11;18;28;26;29;26;22;13;27;24;10;10;11;8;12;11;6
São Pedro do Butiá;;;66;91;83;68;70;48;54;66;78;78;85;124;170;207;256;298;318;337;371;366;210;207;188;192;181;451
São Pedro do Sul;1101;1489;1402;1475;1665;1878;1681;1229;1797;1981;1837;1950;1844;1971;2446;2525;2437;3098;2552;2466;3520;3210;3470;3981;4515;3992;4640;4991
São Sebastião do Caí;5638;6136;7350;7281;8062;7615;7592;7831;8262;8640;10740;10848;11683;13903;16298;16673;18135;18756;24575;26831;29200;31339;36102;39959;40371;38218;37127;38725
São Sepé;3502;2777;3350;3164;3378;3528;3692;3345;3686;3686;3591;4428;4506;4856;5531;6347;5729;6613;6623;5766;7046;6954;7311;7898;8018;7672;7355;7312
São Valentim;71;73;83;89;87;123;394;469;95;90;94;306;183;160;157;146;101;128;204;167;153;129;107;97;91;96;159;158
São Valentim do Sul;;;28;26;51;60;77;91;92;69;80;89;89;207;137;117;21;105;111;125;108;101;176;20;99;102;72;76
São Valério do Sul;;;3;1;;12;23;27;22;28;30;36;32;32;37;37;36;27;17;15;15;13;16;16;16;12;12;12
São Vendelino;36;36;50;56;69;82;112;194;285;710;702;777;1032;1217;1127;1118;1372;1484;1435;1304;1708;2068;2212;1174;1151;1168;1122;1325
São Vicente do Sul;399;468;441;422;431;475;581;443;545;737;543;633;540;716;638;501;507;509;583;538;706;480;377;430;372;308;322;248
Sapiranga;46307;48736;54657;54683;49859;50481;51278;50358;53804;65311;66176;68439;79658;82064;75859;79556;86325;85675;69694;84039;87281;84909;76846;61155;54230;52900;55085;55888
Sapucaia do Sul;308552;291334;314081;340769;346008;367073;356215;403895;415500;398424;435860;449637;446559;459568;373673;389227;385198;403240;320699;384005;389468;445362;414874;404515;380672;365844;366212;392627
Sarandi;4028;3830;3011;2534;2834;4441;5370;6249;6642;7780;8279;10642;11996;12179;12951;14323;15907;15285;15658;17962;17606;17619;17974;18843;19276;19462;20503;20287
Seberi;301;398;386;461;610;868;680;851;441;518;584;552;574;411;491;585;583;779;965;1077;1305;1523;1728;1999;5694;8658;12134;12571
Sede Nova;234;210;237;299;358;326;288;284;236;251;299;257;276;217;208;273;244;198;191;205;142;73;13;13;11;11;12;11
Segredo;45;93;55;57;52;59;78;65;76;62;65;65;65;57;59;64;64;56;46;44;44;50;53;54;49;46;33;31
Selbach;10;11;17;20;13;19;17;18;13;11;11;10;12;11;11;10;10;10;11;15;11;12;9;0;;0;0;0
Senador Salgado Filho;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Sentinela do Sul;;;1951;2818;3123;3868;3912;5422;6777;7690;7470;5175;3622;2987;3350;4276;5430;5673;6846;5228;7208;5787;4805;4556;4782;5561;5829;2309
Serafina Corrêa;9440;9242;10134;10246;11714;12756;14870;17051;15810;16031;18060;19871;24248;27159;29340;31395;31081;36761;37083;37267;42079;40396;43555;41725;41275;41274;39957;39207
Sério;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Sertão;213;339;294;373;436;398;371;451;393;490;744;702;685;453;394;380;370;174;74;89;118;122;119;111;104;106;111;105
Sertão Santana;;;1444;1775;1696;1944;2509;2417;2780;3724;4395;4832;4740;5149;4763;5108;5784;6925;7859;7259;8553;8125;8180;8931;8764;6382;1799;1818
Sete de Setembro;;;;;;;10;61;99;89;61;62;54;61;62;71;87;87;217;352;229;160;171;347;151;204;215;331
Severiano de Almeida;127;106;97;99;99;137;194;241;240;306;288;223;214;244;201;162;175;162;188;192;192;101;96;98;99;89;64;63
Silveira Martins;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Sinimbu;;;282;305;222;139;155;226;271;274;249;214;206;246;204;206;199;207;176;171;192;236;250;271;336;345;327;366
Sobradinho;602;586;613;547;663;649;669;581;566;605;618;662;1148;1493;1356;1317;1365;1318;1061;1174;1141;1150;1232;1328;1366;1469;1405;1234
Soledade;5382;5448;5307;4894;4371;4981;5549;5910;5074;5518;5427;5272;5419;5273;4555;3881;4269;4010;3174;3172;3358;3154;3180;3322;3551;3232;3134;3290
Tabaí;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Tapejara;310;255;45;;;;;;;;;;;1;;;;;;;0;0;0;;;0;0;0
Tapera;3898;4260;4223;4551;4643;4863;5276;4857;4678;3309;4476;5352;6036;7683;6572;7241;6531;6879;6495;6351;5105;2876;1162;1263;1175;1152;1109;1123
Tapes;7265;7896;5359;4842;4474;4757;5392;5436;6563;7250;8615;9778;8640;9091;8380;8033;8292;8868;8519;7430;7463;6400;5575;5561;5309;3481;1354;1651
Taquara;14218;9630;9620;9311;10194;12140;12836;11454;12200;14564;15572;14241;14044;15251;16535;15541;15091;15792;13190;15134;15235;13959;14127;14309;13897;12501;15265;16621
Taquari;25388;15368;29793;35641;38723;43918;44070;38637;39733;44144;42318;40995;39805;45026;16103;13714;12135;11683;10390;6574;6556;60888;68302;75243;67129;77734;73082;72930
Taquaruçu do Sul;88;195;196;87;186;99;120;162;102;152;160;104;130;104;100;116;130;126;107;149;171;116;163;167;193;39;231;238
Tavares;269;23;42;42;57;44;55;142;351;896;909;999;1319;1376;1942;1864;2251;2663;2665;2750;2450;1231;1190;1001;753;544;187;73
Tenente Portela;887;964;1106;1572;1435;1298;1622;2080;1782;2103;1812;1445;1585;1622;1520;1658;1976;1395;860;865;926;932;916;1048;1304;1997;2662;2797
Terra de Areia;362;310;349;399;418;448;593;924;847;995;763;733;777;893;1244;1774;755;528;673;806;937;955;1049;1035;785;834;897;835
Teutônia;;;;;;;;;4;4;4;43;85;50;22;3;4;4;20;27;143;163;375;238;229;264;331;266
Tio Hugo;;;;;;;;;;;;;;;;0;12;;1;1;3;3;0;;;0;0;0
Tiradentes do Sul;;;145;200;184;165;168;179;168;171;319;656;203;186;346;406;119;114;116;285;162;142;338;266;209;251;155;185
Toropi;;;;;;;;;;8;;5;15;12;11;10;9;7;7;7;6;1;3;3;2;2;2;1
Torres;2019;2065;1748;1900;1994;2094;2343;2353;2528;2894;2806;2853;2874;2533;2211;2826;2416;2715;3099;3569;3895;3503;3145;4004;3698;3106;3248;2833
Tramandaí;1132;746;878;1096;1020;970;980;985;1081;1077;875;629;750;752;915;958;1056;952;929;999;1031;946;929;1071;1079;1086;1136;1187
Travesseiro;;;1;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Três Arroios;25;32;48;53;61;56;55;64;61;65;65;67;60;68;87;76;80;98;101;143;161;157;198;241;205;185;185;585
Três Cachoeiras;182;180;226;237;320;417;567;618;634;796;913;1022;962;1146;1312;1249;1544;2291;1561;1979;1410;1359;2527;3903;3970;3944;2894;2527
Três Coroas;10679;12452;13311;12807;12230;13225;13684;13593;15972;19994;19656;19867;21355;25088;26186;27276;30002;31260;32082;36839;35624;33891;32060;30673;25770;26479;26668;25563
Três de Maio;3926;4210;4513;4659;4905;5248;5780;6246;6348;6890;7150;7022;7326;7997;7591;8699;8953;9020;8857;9118;9570;9724;9519;5496;4583;4312;4412;4412
Três Forquilhas;;;115;164;167;144;187;197;193;238;238;159;128;147;167;127;123;155;278;103;107;112;89;92;116;144;84;36
Três Palmeiras;169;176;133;148;147;199;157;215;168;162;209;180;221;197;218;322;493;413;290;316;269;30;95;110;106;150;202;231
Três Passos;9605;11003;14311;14294;14905;14943;13280;15028;17170;20051;20441;21268;22411;19694;16350;3220;18233;19059;17009;1088;17045;15559;16010;17720;18833;20111;20424;18754
Trindade do Sul;153;154;126;152;170;212;180;262;251;261;279;224;266;276;256;261;158;95;196;323;414;475;486;502;420;629;735;657
Triunfo;542753;667520;726561;782614;855141;830350;892705;974531;1056199;1268577;1104754;1098194;630053;491314;146190;22292;20985;66115;37682;56413;62219;64200;59825;44670;24485;19952;5485;5361
Tucunduva;1039;1257;1229;1294;1367;1263;1282;1390;1308;1274;1337;1313;1585;1216;939;863;628;535;461;445;470;368;220;190;519;389;423;435
Tunas;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Tupanci do Sul;;;47;58;53;48;70;69;47;61;86;67;68;57;43;111;118;20;7;6;4;4;18;39;23;28;23;29
Tupanciretã;1708;1138;1272;1538;1767;2611;3404;4165;4511;4439;4836;3452;4855;5668;5545;4706;4967;5138;5162;5361;5778;4729;4555;4417;2876;1006;933;778
Tupandi;355;218;408;467;468;542;575;690;916;1413;1820;2417;3020;4651;4615;5752;7368;8190;10242;14476;20885;23081;29773;29430;28289;26481;28984;27918
Tuparendi;665;756;935;1105;1125;1132;1077;1077;1045;1045;1140;959;1158;1088;889;817;685;696;545;655;642;676;541;633;522;502;426;443
Turuçu;;;;;;;1101;4506;4672;5754;5716;5941;5957;5333;5300;4117;5490;612;73;59;61;74;102;514;442;153;112;79
Ubiretama;;;;;;;;;4;5;7;6;7;6;6;4;6;5;4;2;1;1;1;1;1;1;1;1
União da Serra;;;23;25;34;39;38;44;41;46;36;44;60;50;61;157;260;218;187;250;221;209;250;273;273;490;475;453
Unistalda;;;;;;;28;39;49;49;55;69;63;46;65;48;71;66;15;3;3;3;3;3;3;3;3;0
Uruguaiana;25596;25547;24860;24627;23947;20765;20164;14553;17923;18915;15156;14164;13851;20811;22877;26003;24883;25811;23490;22952;25705;19652;16461;14523;14404;14051;15316;15040
Vacaria;10706;9327;10078;9208;10073;11430;12846;11000;11575;14422;16243;16724;18300;19730;19871;18820;23683;25137;21800;27306;28453;25148;30937;34363;32135;31131;35386;37604
Vale do Sol;;;53;86;96;111;117;120;203;133;116;136;260;221;157;183;225;179;106;110;119;105;100;119;113;106;99;71
Vale Real;;;1937;2417;2252;2246;2654;2501;2432;2870;2889;2946;3466;3786;3712;3966;3520;3582;3422;3403;3465;4154;5577;6501;6628;7788;4735;5874
Vanini;25;33;47;50;74;86;91;93;82;111;100;125;172;227;218;201;197;192;144;136;111;96;161;184;179;160;735;995
Venâncio Aires;22856;39038;43466;38863;37200;44902;73107;61837;65325;84052;72569;71850;71531;80135;76908;68578;73765;71667;65658;64097;72396;72509;81140;84223;76668;74334;84342;85540
Vera Cruz;7644;13043;15016;12789;11589;7620;13210;9445;10956;9360;7497;9873;9725;9349;9591;9046;9636;6761;7733;8688;8617;8132;6253;5702;5376;3563;5015;4887
Veranópolis;12969;13604;14883;16438;17299;19014;21533;21259;22917;25366;26197;32563;41329;40751;35759;31236;34913;39446;35460;35113;44359;44192;51772;51426;54900;55890;56994;59932
Vespasiano Correa;;;;;;;98;138;163;196;299;351;446;452;435;391;207;100;68;106;129;215;194;181;139;77;86;118
Viadutos;92;101;123;134;176;188;200;232;225;247;228;216;192;167;157;161;177;196;156;169;147;142;178;226;242;241;246;247
Viamão;5468;5435;6260;6472;7386;7839;7050;14905;28397;33914;35467;48852;55561;58755;35239;36159;36176;36537;38106;39688;35866;34864;28244;34707;28810;20524;9938;10071
Vicente Dutra;270;71;77;81;70;52;45;53;61;54;59;61;64;60;53;60;60;67;72;72;67;49;47;40;40;31;35;29
Victor Graeff;166;241;218;200;261;266;262;281;300;308;385;311;408;378;415;425;415;437;474;447;293;51;55;56;42;41;41;30
Vila Flores;1327;1545;1657;1773;2579;2561;2973;3072;3700;4084;4704;5301;5583;6382;6612;7150;7667;9169;8315;9762;10667;11040;12284;13542;12189;11006;9935;10436
Vila Maria;580;780;671;867;891;824;1104;937;606;956;1188;1239;1502;1868;2435;2960;3043;3100;3379;3571;4241;4853;4736;3914;3633;3713;3391;3557
Vila Nova do Sul;;;;;;;;;5;8;1;14;5;;;;;;;;0;0;0;;;0;0;0
Vista Alegre;46;40;30;31;28;32;32;32;51;80;63;59;62;54;51;50;41;71;58;57;35;26;26;41;39;34;46;320
Vista Alegre do Prata;57;44;45;43;37;25;32;40;32;30;25;28;61;64;45;48;49;34;42;99;55;43;51;47;33;25;26;32
Vista Gaúcha;20;147;267;307;266;220;214;201;164;129;146;186;215;249;236;294;278;276;207;200;228;259;292;292;292;283;397;343
Vitória das Missões;;;11;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Xangrilá;;;204;313;319;347;440;514;625;928;1054;1373;1513;1499;1558;1698;1940;2120;2373;2439;2512;2123;1048;1299;722;607;619;658
