variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cruz Alta;4306106;-28,645;-53,6048;27.450;26.667;28.554;29.729;32.952;34.694;36.195;36.987;37.764;37.978;35.730;34.597;34.975;35.134;35.089;34.390;36.605;36.731;38.451;40.075;41.325;42.933;45.041;49.922;47.918;50.474;50.463;52.591
Cruzaltense;4306130;-27,6644;-52,6492;-;-;-;-;-;-;-;-;-;-;179;193;215;229;245;253;264;280;294;308;306;326;378;441;438;419;436;456
Cruzeiro do Sul;4306205;-29,5148;-51,9928;2.519;2.651;2.763;2.926;3.238;3.764;4.147;4.089;4.093;4.307;4.342;4.604;4.690;4.755;4.928;5.028;5.287;5.544;5.957;6.305;6.778;7.400;7.755;8.795;8.373;8.524;8.727;8.800
David Canabarro;4306304;-28,3849;-51,8482;369;403;429;465;525;556;601;628;664;691;709;724;788;804;839;886;961;1.019;1.065;1.167;1.226;1.295;1.498;1.589;1.653;1.732;1.829;1.944
Derrubadas;4306320;-27,2642;-53,8645;-;-;139;212;230;246;260;284;321;342;350;337;341;342;348;353;380;404;451;529;591;653;730;824;881;968;1.033;1.120
Dezesseis de Novembro;4306353;-28,219;-55,0617;167;182;199;204;220;238;276;303;301;290;279;280;309;321;330;322;331;361;396;432;446;465;479;560;584;612;625;618
Dilermando de Aguiar;4306379;-29,7054;-54,2122;-;-;-;-;-;-;374;439;484;617;571;622;620;632;620;616;639;712;720;776;839;890;909;978;989;1.007;1.045;1.099
Dois Irmãos;4306403;-29,5836;-51,0898;7.609;8.016;7.570;8.311;8.950;10.070;11.546;12.021;12.850;13.777;14.502;15.544;16.384;17.212;18.202;18.068;18.982;19.241;20.127;21.935;23.425;25.158;26.646;30.393;28.582;30.126;30.391;31.264
Dois Irmãos das Missões;4306429;-27,6621;-53,5304;-;-;153;270;254;276;304;311;344;390;383;399;429;440;441;477;523;557;596;614;648;701;778;875;860;895;958;985
Dois Lajeados;4306452;-28,983;-51,8396;433;440;377;411;476;516;570;584;602;646;652;670;777;803;823;840;958;1.085;1.032;1.095;1.107;1.136;1.232;1.372;1.400;1.464;1.527;1.618
Dom Feliciano;4306502;-30,7004;-52,1026;681;723;782;795;900;956;996;1.026;1.114;1.143;1.239;1.348;1.374;1.443;1.544;1.601;1.796;1.921;2.098;2.247;2.413;2.603;2.773;3.030;2.867;2.987;3.208;3.240
Dom Pedrito;4306601;-30,9756;-54,6694;13.454;13.543;14.053;14.262;15.813;16.924;18.305;18.226;19.119;19.607;18.913;18.663;18.423;18.675;18.830;18.709;19.558;20.139;20.788;21.911;23.067;23.849;24.798;27.203;25.452;26.433;26.665;27.971
Dom Pedro de Alcântara;4306551;-29,3639;-49,853;-;-;-;-;-;-;320;542;535;500;461;469;467;483;495;504;526;567;603;613;622;654;570;759;731;761;788;811
Doutor Maurício Cardoso;4306734;-27,5103;-54,3578;1.295;1.292;1.360;1.439;1.510;1.503;1.525;1.521;1.618;1.626;1.534;1.526;1.545;1.582;1.602;1.617;1.617;1.656;1.775;1.869;1.875;2.076;2.152;2.487;2.519;2.531;2.730;2.862
Doutor Ricardo;4306759;-29,084;-51,9971;-;-;-;-;-;-;171;109;90;101;128;285;338;369;349;327;352;386;422;471;540;587;643;819;949;899;845;839
Eldorado do Sul;4306767;-30,0847;-51,6187;7.208;7.654;8.134;8.516;9.898;10.983;12.614;13.400;14.087;14.791;14.461;14.065;14.169;14.010;14.041;14.127;15.241;15.925;16.990;18.517;20.369;21.945;24.225;26.998;26.292;26.574;27.195;28.963
Encantado;4306809;-29,2351;-51,8703;7.038;7.208;7.373;7.826;8.611;9.404;10.128;10.301;10.766;10.698;10.790;11.442;10.978;11.058;11.698;12.125;12.979;13.380;14.285;15.274;16.260;17.531;18.395;20.200;19.115;19.906;19.396;19.762
Encruzilhada do Sul;4306908;-30,543;-52,5204;3.743;3.798;4.052;4.255;4.742;5.279;5.632;5.764;6.030;6.681;6.494;6.709;6.858;6.986;7.279;7.702;8.176;8.479;8.747;9.078;9.665;10.359;10.880;11.608;11.211;11.569;11.871;12.075
Engenho Velho;4306924;-27,706;-52,9145;-;-;69;108;120;145;152;169;194;216;220;256;329;323;307;313;325;342;364;382;396;456;466;505;533;529;561;588
Entre Rios do Sul;4306957;-27,5298;-52,7347;423;420;483;537;614;676;725;743;758;792;764;780;804;800;803;880;979;955;1.095;1.149;1.202;1.240;1.339;1.503;1.472;1.530;1.597;1.591
Entre-ijuís;4306932;-28,3686;-54,2686;1.339;1.341;1.426;1.541;1.737;1.853;1.920;1.999;2.064;2.086;2.037;2.030;2.089;2.157;2.191;2.220;2.339;2.498;2.681;2.946;3.204;3.501;3.686;4.309;4.287;4.591;4.811;5.084
Erebango;4306973;-27,8544;-52,3005;591;614;671;705;788;839;884;849;856;861;839;839;871;867;871;885;925;959;1.023;1.157;1.204;1.285;1.367;1.446;1.430;1.533;1.663;1.666
Erechim;4307005;-27,6364;-52,2697;29.126;29.941;31.819;33.412;36.424;39.665;43.047;45.263;46.428;48.973;47.178;47.144;46.870;47.866;48.508;50.329;53.793;55.674;60.104;63.941;66.905;69.445;76.293;83.318;81.644;86.802;89.242;93.540
Ernestina;4307054;-28,4977;-52,5836;277;300;347;400;453;511;561;601;620;643;640;654;693;736;745;771;839;851;936;993;1.030;1.109;1.193;1.356;1.390;1.478;1.579;1.577
Erval Grande;4307203;-27,3926;-52,574;512;500;523;548;582;567;601;626;650;691;681;726;809;869;897;923;975;998;1.139;1.326;1.381;1.500;1.645;1.931;1.979;2.060;2.174;2.333
Erval Seco;4307302;-27,5443;-53,5005;1.284;1.214;1.125;1.179;1.260;1.317;1.355;1.352;1.381;1.537;1.476;1.478;1.562;1.553;1.520;1.537;1.624;1.699;1.810;1.970;2.108;2.292;2.484;2.831;2.847;2.934;2.987;3.088
Esmeralda;4307401;-28,0518;-51,1933;589;606;640;684;750;903;1.185;1.112;1.158;1.221;965;1.053;1.121;1.101;1.094;1.057;1.162;1.176;1.253;1.321;1.346;1.419;1.552;1.618;1.592;1.684;1.732;1.895
Esperança do Sul;4307450;-27,3603;-53,9891;-;-;-;-;-;-;185;211;220;266;291;284;348;329;329;328;341;331;366;495;494;578;666;844;930;980;1.028;1.095
Espumoso;4307500;-28,7286;-52,8461;3.527;3.411;3.592;3.835;4.164;4.370;4.526;4.726;4.957;5.027;4.996;5.195;5.290;5.308;5.497;5.493;5.981;6.182;6.622;6.881;7.321;7.807;8.455;9.877;9.431;10.174;10.237;10.738
Estação;4307559;-27,9135;-52,2635;1.637;1.719;1.762;1.872;2.108;2.305;2.481;2.581;2.640;2.654;2.580;2.639;2.673;2.719;2.772;2.768;2.835;2.926;3.114;3.091;3.233;3.648;3.685;4.059;3.945;4.193;4.205;4.260
Estância Velha;4307609;-29,6535;-51,1843;13.667;14.002;14.483;15.477;16.540;17.952;19.695;20.271;22.061;23.371;23.460;24.714;25.455;26.366;27.573;28.427;30.278;30.896;32.424;34.767;36.866;40.216;42.831;47.894;44.532;45.938;47.480;49.405
Esteio;4307708;-29,852;-51,1841;33.687;34.947;36.568;38.724;42.917;46.087;48.589;51.193;51.119;52.420;52.502;52.971;52.191;52.313;54.418;54.497;57.914;58.763;60.610;63.507;66.089;70.817;72.981;80.743;73.349;73.553;72.541;72.433
Estrela;4307807;-29,5016;-51,9605;10.252;10.545;10.624;11.128;12.252;13.479;14.958;14.723;15.066;15.498;15.311;15.646;15.561;16.017;16.531;17.134;18.458;18.708;19.926;21.247;22.969;24.739;26.155;28.765;26.349;27.023;27.080;27.703
Estrela Velha;4307815;-29,1713;-53,1639;-;-;-;-;-;-;-;...;-;-;0;0;2;3;6;7;8;9;10;12;11;12;11;14;13;15;11;11
Eugênio de Castro;4307831;-28,5315;-54,1506;327;358;426;453;517;564;588;619;648;663;683;678;748;725;744;745;764;815;884;946;986;1.056;1.122;1.302;1.298;1.366;1.426;1.483
Fagundes Varela;4307864;-28,8794;-51,7014;237;257;288;305;396;420;468;520;549;573;567;569;682;665;698;693;734;796;880;947;991;1.053;1.123;1.230;1.251;1.287;1.276;1.408
Farroupilha;4307906;-29,2227;-51,3419;16.368;17.062;18.226;19.971;21.869;24.499;27.152;28.403;28.234;29.509;28.520;28.568;28.569;28.511;29.176;29.505;33.013;34.829;37.732;40.312;42.042;44.045;48.305;51.482;50.673;53.263;54.799;57.727
Faxinal do Soturno;4308003;-29,5788;-53,4484;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Faxinalzinho;4308052;-27,4238;-52,6789;279;266;289;318;386;450;485;491;530;543;539;535;587;575;580;601;654;653;708;771;813;913;1.010;1.083;1.073;1.131;1.183;1.237
Fazenda Vilanova;4308078;-29,5885;-51,8217;-;-;-;-;-;-;611;605;625;646;728;845;881;888;917;991;1.133;1.259;1.394;1.477;1.625;1.825;1.971;2.330;2.271;2.270;2.371;2.436
Feliz;4308102;-29,4527;-51,3032;4.004;4.390;3.574;3.739;4.187;4.763;4.850;5.211;5.288;5.513;5.605;5.648;5.849;5.855;5.944;5.934;6.332;6.484;6.949;7.597;7.875;8.626;9.344;10.660;10.537;11.100;11.642;12.047
Flores da Cunha;4308201;-29,0262;-51,1875;5.887;5.993;6.131;6.574;7.223;7.975;9.021;9.501;9.904;10.797;10.449;10.536;11.048;11.138;11.278;11.523;12.287;13.466;14.575;15.660;16.512;17.452;19.401;20.646;20.230;21.672;21.809;22.912
Floriano Peixoto;4308250;-27,8614;-52,0838;-;-;-;-;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fontoura Xavier;4308300;-28,9816;-52,3445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Formigueiro;4308409;-30,0035;-53,4959;933;941;1.009;1.112;1.250;1.361;1.478;1.491;1.679;1.702;1.705;1.774;1.815;1.975;1.965;1.980;2.018;2.133;2.240;2.355;2.496;2.646;2.727;3.129;3.221;3.248;3.431;3.540
Fortaleza dos Valos;4308458;-28,7986;-53,2249;564;569;619;658;731;843;1.029;1.100;1.155;1.207;1.183;1.197;1.204;1.160;1.239;1.237;1.288;1.345;1.418;1.430;1.485;1.567;1.652;1.962;1.902;2.074;1.956;2.026
Frederico Westphalen;4308508;-27,3586;-53,3958;7.827;7.653;8.199;8.734;9.500;10.443;10.680;10.750;11.170;11.136;11.005;11.090;11.328;11.554;11.814;11.893;12.845;13.524;14.794;16.110;16.825;18.266;19.416;21.866;21.878;23.425;24.311;25.626
Garibaldi;4308607;-29,259;-51,5352;7.770;7.872;8.383;9.169;10.743;11.714;12.669;13.138;13.795;14.698;13.885;13.711;14.067;14.356;14.746;15.028;16.192;17.093;19.100;19.784;21.021;22.096;24.216;26.650;26.283;27.969;28.232;29.790
Garruchos;4308656;-28,1944;-55,6383;-;-;142;216;261;262;450;370;580;697;767;777;742;711;696;729;723;762;787;819;863;982;1.025;1.180;1.190;1.141;1.138;1.191
Gaurama;4308706;-27,5856;-52,0915;1.086;1.062;1.144;1.193;1.343;1.434;1.518;1.548;1.582;1.709;1.661;1.703;1.769;1.726;1.753;1.854;1.977;1.979;2.105;2.229;2.265;2.461;2.728;3.014;3.037;3.174;3.334;3.461
General Câmara;4308805;-29,9032;-51,7612;1.763;1.767;1.856;2.035;2.335;2.565;2.934;2.879;3.000;3.254;3.246;3.153;3.245;3.182;3.182;3.229;3.420;3.401;3.524;3.685;3.889;4.109;4.416;5.124;4.636;4.710;4.717;4.755
Gentil;4308854;-28,4316;-52,0337;-;-;53;77;97;120;130;148;168;191;181;206;220;222;240;248;265;271;293;330;343;382;422;500;511;521;532;573
Getúlio Vargas;4308904;-27,8911;-52,2294;5.145;5.107;5.237;5.499;6.078;6.603;6.921;7.024;7.067;7.242;7.045;7.054;7.134;7.151;7.300;7.405;7.878;8.159;8.690;8.951;9.413;9.768;10.162;11.468;11.350;12.000;12.207;12.690
Giruá;4309001;-28,0297;-54,3517;5.455;5.304;5.552;5.722;6.275;6.565;6.731;6.744;6.680;6.825;6.306;6.204;6.200;6.479;6.495;6.225;6.462;6.689;7.120;7.600;7.764;8.423;8.675;9.665;9.445;9.792;10.172;10.574
Glorinha;4309050;-29,8798;-50,7734;1.564;1.676;1.706;1.805;2.041;2.182;2.394;2.678;2.459;2.708;2.528;2.521;2.821;2.876;2.875;2.825;3.052;3.178;3.493;3.838;3.978;4.366;4.933;5.605;5.599;5.702;6.174;6.452
Gramado;4309100;-29,3733;-50,8762;10.344;10.466;11.717;12.399;14.001;15.497;16.837;18.064;19.394;20.439;19.799;20.632;21.148;21.451;22.240;22.521;24.802;26.030;28.083;29.704;30.831;32.105;35.707;39.294;39.646;44.071;45.758;48.470
Gramado dos Loureiros;4309126;-27,4429;-52,9149;-;-;-;...;...;...;...;...;18;20;16;9;33;17;31;35;24;29;37;60;57;73;77;88;96;94;97;114
Gramado Xavier;4309159;-29,2706;-52,5795;-;-;16;2;8;24;15;12;15;20;28;36;63;90;88;91;106;91;87;69;77;78;83;97;113;112;128;118
Gravataí;4309209;-29,9413;-50,9869;81.008;83.520;86.369;90.922;102.788;113.558;123.373;129.725;135.201;138.163;133.988;133.015;130.243;129.913;131.508;134.983;147.339;155.161;164.547;173.357;182.741;195.445;209.226;232.176;224.789;228.951;233.673;241.471
Guabiju;4309258;-28,5421;-51,6948;168;169;182;210;228;261;280;297;324;330;329;328;359;350;363;363;393;433;499;498;478;501;523;574;601;632;662;752
Guaíba;4309308;-30,1086;-51,3233;34.131;35.569;36.035;36.545;41.081;43.728;48.292;49.797;51.267;51.226;49.722;47.850;46.549;44.905;44.925;44.889;46.751;47.645;49.673;52.326;56.478;59.599;59.849;72.773;68.280;67.198;68.765;75.027
Guaporé;4309407;-28,8399;-51,8895;6.319;6.418;6.730;7.095;8.047;8.677;9.445;9.976;10.275;10.920;10.403;10.614;10.580;10.626;11.106;11.243;12.202;13.157;14.136;15.111;15.998;16.786;18.057;19.679;19.703;20.897;21.354;22.323
Guarani das Missões;4309506;-28,1491;-54,5629;1.914;1.909;2.027;2.112;2.230;2.430;2.563;2.425;2.521;2.517;2.463;2.479;2.513;2.480;2.564;2.610;2.723;2.891;3.130;3.385;3.487;3.614;3.717;4.317;4.167;4.321;4.391;4.530
Harmonia;4309555;-29,5456;-51,4185;444;545;585;639;726;902;1.065;975;931;997;1.023;1.110;1.167;1.214;1.261;1.327;1.381;1.504;1.614;1.786;1.934;2.114;2.290;2.669;2.686;2.941;2.984;3.091
Herval;4307104;-32,024;-53,3944;1.042;1.107;1.153;1.166;1.302;1.432;1.523;1.567;1.639;1.670;1.699;1.770;1.775;1.769;1.896;1.938;2.101;2.246;2.351;2.456;2.604;2.655;2.566;2.963;2.910;2.929;3.017;3.067
Herveiras;4309571;-29,4552;-52,6553;-;-;-;-;-;-;95;99;108;122;153;180;241;235;257;265;309;348;394;423;425;429;466;549;577;567;620;539
Horizontina;4309605;-27,6282;-54,3053;6.605;6.285;6.611;6.985;7.626;7.841;8.321;8.640;8.877;8.992;8.778;8.852;8.946;9.392;9.571;9.488;9.622;10.157;11.082;11.403;11.880;12.744;13.167;15.227;14.804;15.494;15.767;15.880
Hulha Negra;4309654;-31,4067;-53,8667;-;-;-;-;-;35;150;164;146;130;143;117;86;86;69;61;61;61;56;52;63;67;74;64;50;43;55;49
Humaitá;4309704;-27,5691;-53,9695;1.244;1.189;1.232;1.277;1.378;1.400;1.412;1.437;1.438;1.496;1.455;1.480;1.506;1.488;1.491;1.553;1.599;1.663;1.825;1.936;2.013;2.211;2.321;2.581;2.605;2.700;2.810;2.923
Ibarama;4309753;-29,4203;-53,1295;195;232;236;250;272;324;376;368;382;402;443;476;504;531;548;592;646;686;757;792;830;918;995;1.167;1.122;1.125;1.118;1.158
Ibiraiaras;4309902;-28,3741;-51,6377;983;1.015;1.064;1.143;1.275;1.481;1.651;1.707;1.754;1.775;1.749;1.726;1.861;1.932;1.988;1.971;2.087;2.140;2.462;2.556;2.697;2.891;3.126;3.359;3.336;3.570;3.550;3.553
Ibirapuitã;4309951;-28,6247;-52,5158;340;402;438;454;516;577;630;662;708;740;753;757;806;872;905;948;1.023;1.029;1.154;1.239;1.343;1.450;1.581;1.714;1.666;1.646;1.483;1.556
Ibirubá;4310009;-28,6302;-53,0961;5.436;5.353;5.881;6.042;6.574;6.877;6.960;7.390;7.634;7.647;7.498;7.489;7.629;8.064;8.131;8.036;8.449;8.769;9.373;9.766;10.317;11.058;11.909;13.371;13.027;13.928;14.113;14.729
Igrejinha;4310108;-29,5693;-50,7919;8.909;9.209;10.025;10.369;11.414;12.507;13.787;14.303;14.850;15.780;15.459;15.946;15.655;16.143;17.152;17.458;19.859;19.827;20.707;21.991;23.041;24.688;26.258;28.851;28.398;29.724;31.332;32.955
Ijuí;4310207;-28,3881;-53,92;-;5;12;12;16;16;...;9;11;9;4;1;3;4;3;4;4;4;3;4;1;0;0;-;-;0;0;0
Ilópolis;4310306;-28,9282;-52,1258;542;552;608;628;808;844;858;943;957;991;987;1.002;1.041;1.070;1.106;1.122;1.207;1.220;1.284;1.353;1.361;1.459;1.610;1.753;1.810;1.803;1.877;1.949
Imbé;4310330;-29,9753;-50,1281;11.373;11.475;7.847;13.257;15.073;16.110;17.117;19.244;20.390;20.624;22.235;23.988;24.815;25.093;25.142;26.235;27.149;27.809;29.117;30.575;31.962;33.101;35.022;38.312;37.883;37.574;39.228;38.637
Imigrante;4310363;-29,3508;-51,7747;328;366;413;465;552;677;1.023;976;817;895;886;955;937;966;1.006;1.055;1.106;1.094;1.200;1.309;1.355;1.444;1.589;1.725;1.641;1.722;1.738;1.801
Independência;4310405;-27,8354;-54,1886;1.129;1.144;1.214;1.266;1.379;1.477;1.373;1.563;1.626;1.619;1.540;1.516;1.555;1.594;1.631;1.646;1.749;1.785;1.933;2.064;2.163;2.369;2.457;2.760;2.653;2.770;2.890;3.043
Inhacorá;4310413;-27,8752;-54,015;-;-;163;246;274;308;345;368;386;425;408;427;431;451;455;451;481;492;560;583;658;686;726;807;837;850;903;967
Ipê;4310439;-28,8171;-51,2859;744;769;809;866;990;1.212;1.264;1.303;1.335;1.423;1.380;1.305;1.421;1.407;1.415;1.544;1.618;1.742;1.816;2.095;2.113;2.339;2.587;2.976;2.986;3.095;3.154;3.446
Ipiranga do Sul;4310462;-27,9404;-52,4271;224;234;236;290;334;351;360;369;358;362;364;367;385;386;398;401;414;430;466;513;538;561;614;793;694;726;757;782
Iraí;4310504;-27,1951;-53,2543;1.956;1.934;1.965;1.968;2.086;2.216;2.286;2.252;2.353;2.396;2.321;2.348;2.395;2.412;2.467;2.431;2.385;2.416;2.657;2.744;2.866;3.105;3.221;3.638;3.666;3.695;3.703;3.834
Itaara;4310538;-29,6013;-53,7725;-;-;-;-;-;-;2.044;2.077;2.385;2.448;2.437;2.632;2.722;2.780;2.847;2.937;3.083;3.144;3.268;3.349;3.669;3.870;3.971;4.433;4.285;4.513;4.665;4.929
Itacurubi;4310553;-28,7913;-55,2447;292;282;311;332;404;497;615;588;545;573;623;661;703;748;729;737;773;802;829;884;974;1.062;1.118;1.245;1.253;1.278;1.391;1.407
Itapuca;4310579;-28,7768;-52,1693;-;-;-;-;-;-;...;...;1;2;6;10;19;12;10;7;11;12;11;23;28;23;17;18;31;30;27;22
Itaqui;4310603;-29,131;-56,5515;14.273;14.930;15.573;16.127;17.933;18.521;19.037;17.506;19.290;20.047;19.031;18.742;18.173;18.546;18.776;19.143;19.592;20.247;21.512;21.642;22.102;23.426;25.593;30.048;26.412;26.481;26.874;28.225
Itati;4310652;-29,48832;-50,11358;-;-;-;-;-;-;-;-;-;-;348;376;371;374;389;386;403;455;508;525;549;623;725;827;827;825;981;926
Itatiba do Sul;4310702;-27,3846;-52,4538;422;433;491;517;577;608;657;671;675;684;654;625;751;710;727;719;759;764;833;934;942;1.014;1.029;1.161;1.201;1.196;1.240;1.285
Ivorá;4310751;-29,5232;-53,5842;-;-;-;-;4;20;11;2;16;12;12;12;26;19;17;14;17;23;22;27;21;20;30;37;58;48;53;54
Ivoti;4310801;-29,5995;-51,1533;6.339;6.672;6.002;6.432;6.962;7.730;8.621;8.783;9.476;9.991;10.134;10.666;11.233;11.871;12.568;12.953;13.955;14.190;15.031;16.108;17.420;19.041;20.880;22.968;21.094;22.139;22.614;23.248
Jacutinga;4310900;-27,7291;-52,5372;753;767;797;857;1.001;1.058;1.098;1.121;1.122;1.181;1.131;1.149;1.190;1.366;1.311;1.290;1.372;1.386;1.521;1.594;1.606;1.749;1.843;2.050;2.070;2.100;2.148;2.270
Jaguarão;4311007;-32,5604;-53,377;10.557;10.901;11.543;11.549;12.215;12.582;13.112;13.164;13.902;14.738;13.953;13.349;12.721;12.507;12.612;12.732;13.777;14.000;14.545;15.572;16.370;17.013;18.269;19.540;18.449;18.616;19.092;19.630
Jaguari;4311106;-29,4936;-54,703;2.659;2.745;2.831;2.909;3.213;3.322;3.611;3.633;3.769;3.845;3.775;3.722;3.759;3.812;3.859;3.944;4.203;4.331;4.554;4.726;4.985;5.313;5.354;6.056;5.607;5.634;5.797;6.083
Jaquirana;4311122;-28,8811;-50,3637;436;469;567;606;692;790;884;1.089;1.101;1.205;1.120;1.042;1.106;1.170;1.200;1.268;1.330;1.429;1.467;1.547;1.631;1.725;1.723;1.870;2.008;2.096;2.182;2.276
Jari;4311130;-29,2922;-54,2237;-;-;-;-;-;-;-;-;4;10;10;6;35;38;44;70;84;101;104;132;125;116;134;174;206;195;198;209
Jóia;4311155;-28,6435;-54,1141;749;759;841;910;993;1.028;1.105;1.127;1.138;1.130;1.105;1.079;1.190;1.232;1.241;1.176;1.189;1.262;1.421;1.534;1.625;1.790;1.918;2.164;2.124;2.153;2.231;2.371
Júlio de Castilhos;4311205;-29,2298;-53,6772;6.110;6.039;5.994;6.015;6.455;6.841;7.181;7.366;7.670;7.850;7.505;7.597;7.788;7.972;7.927;8.098;8.536;8.706;9.025;9.368;9.625;10.208;10.743;11.945;11.738;12.275;12.617;13.264
Lagoa Bonita do Sul;4311239;-29,4882;-53,0138;-;-;-;-;-;-;-;-;-;-;-;17;119;167;162;155;172;196;212;225;251;264;307;366;409;441;420;384
Lagoa dos Três Cantos;4311270;-28,5676;-52,8618;-;-;197;268;293;301;307;333;353;356;361;389;405;442;448;447;479;490;528;574;620;653;726;826;822;878;695;723
Lagoa Vermelha;4311304;-28,2093;-51,5248;7.554;7.649;8.063;8.546;9.322;10.357;11.432;11.627;11.865;11.788;11.539;11.525;11.758;11.884;11.914;11.915;12.566;13.153;13.791;14.691;15.609;16.345;17.691;19.148;18.613;19.823;20.467;21.144
Lagoão;4311254;-29,2348;-52,7997;11;13;17;15;18;19;4;2;9;9;15;15;24;35;29;45;50;66;93;92;110;111;121;126;137;139;142;134
Lajeado;4311403;-29,4591;-51,9644;20.783;21.092;22.534;23.614;26.105;27.633;28.833;29.731;31.201;32.184;31.387;31.882;32.010;33.126;35.156;35.912;38.418;38.716;40.750;42.913;44.815;48.170;49.085;55.168;50.645;51.900;50.991;52.449
Lajeado do Bugre;4311429;-27,6913;-53,1818;-;-;2;1;...;...;...;...;7;17;14;7;24;16;13;20;24;37;55;63;51;49;50;60;92;94;91;80
Lavras do Sul;4311502;-30,8071;-53,8931;1.880;1.895;2.038;2.046;2.318;2.434;2.674;2.736;2.891;2.923;2.862;2.861;2.826;2.878;2.991;2.991;3.119;3.232;3.355;3.524;3.687;3.866;3.998;4.242;4.149;4.096;4.281;4.451
Liberato Salzano;4311601;-27,601;-53,0753;571;509;500;532;579;605;618;608;634;710;687;672;753;761;770;764;784;778;833;952;971;1.064;1.188;1.403;1.422;1.517;1.576;1.657
Lindolfo Collor;4311627;-29,5859;-51,2141;-;-;881;1.134;1.184;1.329;1.467;1.496;1.668;1.834;1.881;1.965;2.092;2.302;2.377;2.426;2.536;2.643;2.753;2.916;3.136;3.463;3.878;4.326;4.045;4.264;4.498;4.746
Linha Nova;4311643;-29,4679;-51,2003;-;-;79;186;212;289;320;283;277;259;287;303;374;329;330;329;358;385;399;475;467;489;559;635;659;670;723;727
Maçambará;4311718;-29,1445;-56,0674;-;-;-;-;-;-;659;797;872;944;954;935;1.073;1.166;1.118;1.165;1.210;1.290;1.360;1.426;1.461;1.528;1.549;1.734;1.708;1.647;1.641;1.684
Machadinho;4311700;-27,5667;-51,6668;773;780;815;814;860;906;999;994;990;1.139;1.173;1.184;1.266;1.248;1.328;1.425;1.615;1.630;1.728;1.852;1.982;2.177;2.333;2.605;2.667;2.789;2.855;3.022
Mampituba;4311734;-29,2136;-49,9311;-;-;-;-;-;-;155;212;193;179;161;162;185;191;195;167;180;205;221;224;251;251;289;345;362;416;519;519
Manoel Viana;4311759;-29,5859;-55,4841;-;-;986;1.495;1.715;1.834;1.958;2.028;2.049;2.178;2.129;2.220;2.257;2.435;2.610;2.713;2.825;3.035;3.168;3.262;3.491;3.666;3.781;4.183;4.100;4.044;4.205;4.395
Maquiné;4311775;-29,6798;-50,2079;-;-;895;1.084;1.225;1.418;1.937;2.107;2.154;2.264;2.032;2.056;2.150;2.238;2.342;2.423;2.546;2.623;2.837;3.000;3.079;3.284;3.496;3.874;3.747;3.804;4.139;4.119
Maratá;4311791;-29,5457;-51,5573;-;-;173;221;253;380;471;420;390;416;442;485;484;587;577;568;610;683;694;717;742;767;844;918;902;918;959;971
Marau;4311809;-28,4498;-52,1986;6.526;6.978;7.486;8.162;8.960;10.063;11.499;12.331;13.266;13.663;13.555;13.936;14.173;14.810;15.550;16.491;17.796;18.871;20.334;21.454;22.920;24.188;26.145;28.719;27.878;29.814;30.555;31.890
Marcelino Ramos;4311908;-27,4676;-51,9095;1.120;1.115;1.180;1.287;1.405;1.469;1.538;1.538;1.626;1.680;1.590;1.547;1.637;1.565;1.587;1.568;1.697;1.714;1.793;2.002;1.990;2.147;2.251;2.480;2.494;2.626;2.797;2.850
