variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariana Pimentel;4311981;-30,3531;-51,5803;-;-;274;358;428;464;494;524;515;511;476;477;480;506;530;532;555;608;660;754;798;863;981;1.092;1.080;1.083;1.159;1.213
Mariano Moro;4312005;-27,3568;-52,1467;334;328;351;365;432;470;497;529;530;589;564;541;608;610;620;617;651;639;685;746;748;814;845;897;999;991;1.014;1.050
Mata;4312104;-29,5649;-54,4641;671;722;788;841;970;1.020;1.165;1.174;1.217;1.288;1.338;1.336;1.315;1.350;1.365;1.441;1.504;1.580;1.656;1.680;1.758;1.881;1.924;2.173;2.118;2.176;2.268;2.377
Mato Leitão;4312153;-29,5285;-52,1278;-;-;303;453;517;553;606;605;769;827;882;916;963;1.047;1.103;1.165;1.236;1.370;1.507;1.613;1.828;1.990;2.181;2.526;2.730;2.740;3.091;3.070
Maximiliano de Almeida;4312203;-27,6325;-51,8021;818;842;904;941;1.047;1.064;1.107;1.161;1.240;1.312;1.323;1.293;1.380;1.357;1.368;1.396;1.395;1.467;1.582;1.665;1.732;1.905;2.032;2.160;2.201;2.220;2.262;2.331
Minas do Leão;4312252;-30,1346;-52,0423;-;-;2.059;2.290;2.550;2.751;3.034;3.084;3.106;3.144;3.118;3.120;3.199;3.246;3.323;3.377;3.561;3.775;3.964;4.037;4.421;4.666;4.852;5.409;5.111;5.363;5.439;5.525
Miraguaí;4312302;-27,497;-53,6891;622;572;608;638;711;737;736;787;816;838;829;838;849;864;867;877;882;928;1.048;1.252;1.413;1.607;1.611;1.876;2.001;2.187;2.227;2.260
Montauri;4312351;-28,6462;-52,0767;91;123;152;176;191;212;237;245;263;282;294;307;327;333;331;323;348;369;453;451;486;506;551;613;626;668;711;747
Monte Alegre dos Campos;4312377;-28,6805;-50,7834;-;-;-;-;-;-;204;214;176;195;190;200;259;275;273;297;315;304;395;461;513;562;590;662;755;746;779;835
Monte Belo do Sul;4312385;-29,1607;-51,6333;-;-;205;229;295;333;318;365;381;406;408;423;527;506;511;474;499;514;631;663;670;692;759;825;833;833;854;910
Montenegro;4312401;-29,6824;-51,4679;20.997;21.825;21.835;22.440;24.775;26.876;29.531;29.618;30.963;31.598;31.706;32.180;32.614;33.781;35.126;36.351;39.102;39.749;41.089;43.110;45.283;48.845;50.795;56.629;52.109;53.459;54.111;55.457
Mormaço;4312427;-28,6968;-52,6999;-;-;94;133;175;219;256;243;251;257;252;264;297;306;309;313;340;360;426;522;560;638;702;775;816;835;851;881
Morrinhos do Sul;4312443;-29,3578;-49,9328;-;-;114;151;169;205;437;589;504;491;412;428;443;496;479;489;550;542;542;536;541;577;644;726;699;734;826;830
Morro Redondo;4312450;-31,5887;-52,6261;554;597;649;688;771;914;1.007;952;963;1.093;1.077;1.087;1.069;1.128;1.224;1.267;1.342;1.461;1.508;1.653;1.808;1.918;2.107;2.337;2.344;2.364;2.470;2.519
Morro Reuter;4312476;-29,5379;-51,0811;-;-;1.274;1.557;1.844;2.043;2.287;2.324;2.489;2.684;2.692;2.770;2.828;2.938;3.090;3.120;3.309;3.435;3.572;3.741;3.951;4.169;4.615;5.149;4.965;5.186;5.396;5.608
Mostardas;4312500;-31,1054;-50,9167;1.814;1.837;1.985;2.184;2.475;3.005;3.471;3.626;3.921;4.171;4.237;4.443;5.692;4.983;5.133;5.368;5.590;5.724;6.045;6.604;7.169;7.204;7.627;8.289;8.056;7.922;8.383;8.129
Muçum;4312609;-29,163;-51,8714;1.630;1.708;1.811;1.909;2.107;2.386;2.225;2.251;2.299;2.259;2.275;2.331;2.364;2.382;2.563;2.657;2.828;2.976;3.193;3.340;3.567;3.764;3.849;4.243;3.913;4.045;4.044;4.067
Muitos Capões;4312617;-28,3132;-51,1836;-;-;-;-;-;-;350;336;341;386;390;396;589;609;598;538;571;566;627;743;746;830;911;991;1.039;1.048;1.112;1.219
Muliterno;4312625;-28,3253;-51,7697;-;-;-;-;-;10;13;24;14;9;5;2;14;12;20;18;15;15;28;19;18;19;26;41;35;46;38;37
Não-Me-Toque;4312658;-28,4548;-52,8182;4.337;4.665;4.967;5.372;5.808;6.122;6.327;6.794;7.026;7.082;6.962;7.163;7.329;7.602;7.628;7.541;7.992;8.490;9.063;9.635;10.111;10.827;11.733;12.926;12.629;13.306;13.576;14.052
Nonoai;4312708;-27,3689;-52,7756;2.541;2.578;2.695;2.844;3.103;3.280;3.384;3.599;3.858;3.793;3.753;3.778;3.942;3.964;3.986;3.974;4.222;4.671;5.134;5.234;5.578;5.987;6.322;7.138;7.144;7.776;8.003;8.248
Nova Alvorada;4312757;-28,6822;-52,1631;-;-;52;64;98;133;125;119;120;132;131;134;178;162;168;159;177;153;128;164;160;187;191;212;271;322;268;289
Nova Araçá;4312807;-28,6537;-51,7458;579;623;682;756;840;930;1.004;1.015;1.070;1.128;1.152;1.213;1.345;1.345;1.312;1.371;1.503;1.909;1.880;1.991;2.220;2.407;2.660;2.891;2.840;3.100;3.148;3.304
Nova Bassano;4312906;-28,7291;-51,7072;1.201;1.322;1.416;1.551;1.734;1.901;2.106;2.280;2.405;2.518;2.430;2.455;2.556;2.480;2.635;2.652;2.877;3.461;3.730;3.878;4.138;4.371;4.751;5.224;5.276;5.509;5.702;5.898
Nova Boa Vista;4312955;-27,9926;-52,9784;-;-;76;120;119;145;157;177;204;238;236;236;270;289;298;338;376;357;370;416;426;475;532;629;650;707;737;777
Nova Bréscia;4313003;-29,2182;-52,0319;538;557;585;626;683;752;935;950;874;896;934;989;981;999;1.019;1.016;1.078;1.139;1.217;1.327;1.387;1.445;1.569;1.648;1.693;1.658;1.620;1.636
Nova Candelária;4313011;-27,6137;-54,1074;-;-;-;-;-;-;154;209;209;206;201;203;246;251;275;289;334;375;438;541;596;702;787;968;1.113;1.192;1.312;1.448
Nova Esperança do Sul;4313037;-29,4066;-54,8293;612;675;729;787;834;918;1.064;1.146;1.236;1.308;1.435;1.548;1.678;1.732;1.823;1.846;1.981;2.005;2.119;2.218;2.351;2.535;2.725;3.133;2.993;3.023;3.186;3.264
Nova Hartz;4313060;-29,5807;-50,9051;3.403;3.617;4.037;4.497;4.860;5.442;6.472;6.915;7.319;8.005;8.166;8.348;8.429;8.528;8.594;8.848;10.062;10.240;11.025;11.596;12.242;13.312;14.204;16.072;15.867;16.641;17.339;17.786
Nova Pádua;4313086;-29,0275;-51,3098;-;-;201;237;259;311;423;484;482;490;463;473;721;570;552;605;606;632;646;720;795;819;891;986;1.008;1.039;1.078;1.139
Nova Palma;4313102;-29,471;-53,4689;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-1;0;0
Nova Petrópolis;4313201;-29,3741;-51,1135;5.683;5.797;4.984;5.360;6.038;6.668;7.214;7.673;8.049;8.665;8.520;8.716;9.177;9.062;9.335;9.397;10.084;10.312;11.276;11.903;12.220;13.023;14.410;15.932;15.875;17.229;17.478;18.457
Nova Prata;4313300;-28,7799;-51,6113;5.402;5.518;5.739;6.141;6.886;7.426;8.051;8.530;8.954;9.562;9.103;9.230;9.778;10.107;10.570;10.852;11.760;12.522;13.495;14.364;14.981;15.594;16.790;18.365;18.274;19.298;19.619;20.748
Nova Roma do Sul;4313359;-28,9882;-51,4095;375;403;435;464;515;658;731;744;772;818;800;797;829;879;905;1.054;1.160;1.053;1.125;1.281;1.384;1.407;1.506;1.593;1.559;1.577;1.680;1.673
Nova Santa Rita;4313375;-29,8525;-51,2837;-;-;3.795;4.621;5.617;6.362;7.129;7.646;8.379;8.773;9.190;9.283;9.574;10.098;11.116;11.450;12.254;13.264;14.581;15.908;16.475;17.988;19.164;21.576;20.300;20.811;21.795;22.568
Novo Barreiro;4313490;-27,9077;-53,1103;-;-;122;162;177;201;210;225;256;319;326;322;384;413;416;432;467;592;644;781;844;956;1.042;1.224;1.395;1.466;1.478;1.537
Novo Cabrais;4313391;-29,7338;-52,9489;-;-;-;-;-;-;-;20;6;12;14;13;29;39;38;40;38;41;48;50;53;71;73;80;90;95;104;89
Novo Hamburgo;4313409;-29,6876;-51,1328;113.584;112.965;117.255;121.829;130.555;141.916;149.186;151.079;162.995;173.207;169.300;172.494;172.589;175.168;181.954;182.504;192.950;195.277;201.176;209.500;216.195;229.760;238.914;263.889;243.044;243.986;242.488;243.058
Novo Machado;4313425;-27,5765;-54,5036;-;-;506;656;711;779;804;816;823;850;798;759;737;662;603;597;649;662;696;772;805;872;902;1.041;1.049;1.153;1.183;1.227
Novo Xingu;4313466;-27,7431;-53,0616;-;-;-;-;-;-;-;-;-;-;47;58;98;128;153;187;215;230;266;368;364;412;447;529;560;600;645;670
Osório;4313508;-29,8881;-50,2667;17.523;16.975;15.952;17.143;19.070;20.970;22.923;23.886;24.567;25.348;23.967;24.104;24.548;24.685;25.386;26.516;27.704;28.481;30.311;32.506;33.968;35.776;38.645;42.681;41.793;43.009;44.314;44.645
Paim Filho;4313607;-27,7075;-51,763;592;607;653;709;763;786;758;867;901;981;1.002;1.008;1.047;977;1.015;1.019;1.088;1.111;1.198;1.273;1.292;1.429;1.521;1.577;1.577;1.699;1.769;1.846
Palmares do Sul;4313656;-30,2535;-50,5103;5.108;5.546;4.788;6.203;7.080;7.662;8.316;7.950;8.537;8.458;8.458;9.183;9.297;9.472;9.658;9.908;10.326;10.488;11.031;11.695;12.141;12.487;13.424;14.227;13.722;13.490;14.010;13.764
Palmeira das Missões;4313706;-27,9006;-53,3134;12.128;11.501;11.638;12.026;13.110;13.590;14.067;14.380;14.770;15.363;14.346;14.152;13.911;13.832;13.558;13.068;15.157;16.067;17.227;18.101;19.001;19.920;20.957;23.518;23.186;24.278;24.952;26.094
Palmitinho;4313805;-27,3596;-53,558;878;909;817;845;940;1.017;1.110;1.138;1.244;1.271;1.316;1.317;1.350;1.347;1.363;1.412;1.484;1.599;1.768;1.946;2.117;2.312;2.568;2.971;3.088;3.281;3.481;3.611
Panambi;4313904;-28,2833;-53,5023;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Pantano Grande;4313953;-30,1901;-52,3729;2.135;2.480;2.553;2.740;3.080;3.358;3.695;3.714;3.841;3.983;4.071;3.964;3.943;4.139;4.188;4.171;4.318;4.361;4.491;4.674;4.846;5.101;5.417;6.001;5.833;5.996;6.055;6.195
Paraí;4314001;-28,5964;-51,7896;881;888;977;1.080;1.228;1.350;1.530;1.660;1.763;1.888;1.728;1.559;2.016;1.934;1.936;2.224;2.299;2.640;2.954;3.177;3.373;3.608;3.908;4.285;4.490;4.882;4.997;5.138
Paraíso do Sul;4314027;-29,6717;-53,144;57;53;60;74;75;92;99;99;136;157;180;231;278;337;341;354;336;372;405;427;448;452;468;538;657;691;730;735
Pareci Novo;4314035;-29,6365;-51,3974;-;-;450;509;579;768;882;743;624;781;714;756;752;786;802;812;857;897;1.043;1.084;1.172;1.270;1.383;1.668;1.763;1.916;1.939;1.943
Parobé;4314050;-29,6243;-50,8312;10.994;11.881;13.180;14.565;16.135;18.239;21.099;22.171;23.095;23.808;23.602;23.471;22.894;23.261;24.195;25.224;28.535;28.665;31.365;32.520;34.469;37.152;39.681;44.728;43.270;44.108;46.292;48.261
Passa Sete;4314068;-29,4577;-52,9599;-;-;-;-;-;-;19;21;42;44;111;109;174;195;209;225;248;301;356;373;421;452;456;536;538;508;525;547
Passo do Sobrado;4314076;-29,748;-52,2748;-;-;308;392;422;499;578;627;677;678;710;754;784;907;980;1.021;1.053;1.097;1.188;1.264;1.358;1.468;1.560;1.809;1.781;1.926;1.901;1.938
Passo Fundo;4314100;-28,2576;-52,4091;64.032;62.723;65.818;68.625;75.814;82.318;89.532;94.416;98.151;100.957;96.646;96.359;96.264;100.182;102.337;105.327;113.785;116.988;124.169;130.366;135.933;140.437;152.011;166.723;163.285;173.786;175.299;183.995
Paulo Bento;4314134;-27,6978;-52,4261;-;-;-;-;-;-;-;-;-;-;137;161;241;257;283;290;321;364;431;459;476;548;611;749;815;855;914;1.084
Paverama;4314159;-29,5485;-51,7339;434;491;549;618;695;791;1.009;973;912;1.026;1.041;1.108;1.168;1.215;1.248;1.233;1.305;1.338;1.463;1.590;1.680;1.756;1.945;2.188;2.133;2.265;2.307;2.454
Pedras Altas;4314175;-31,7217;-53,5838;-;-;-;-;-;-;-;-;-;-;20;265;285;317;348;374;422;424;428;451;486;517;544;596;558;565;592;592
Pedro Osório;4314209;-31,8642;-52,8184;3.474;3.356;3.477;3.576;3.875;4.196;3.415;3.138;3.197;3.375;3.235;3.245;3.330;3.359;3.413;3.383;3.654;3.716;3.863;4.054;4.361;4.581;4.822;5.207;4.892;5.029;5.179;5.339
Pejuçara;4314308;-28,4283;-53,6579;1.043;1.040;1.161;1.203;1.318;1.363;1.420;1.446;1.497;1.514;1.478;1.418;1.472;1.482;1.489;1.446;1.491;1.469;1.601;1.698;1.756;1.817;1.938;2.203;2.159;2.227;2.290;2.410
Pelotas;4314407;-31,7649;-52,3371;126.999;131.078;137.020;140.811;155.983;164.594;174.363;175.081;181.537;182.854;178.560;172.166;171.066;172.741;177.126;182.781;199.100;199.664;207.335;222.280;233.470;243.745;263.933;283.955;268.797;268.974;273.748;280.810
Picada Café;4314423;-29,4464;-51,1367;-;-;1.237;1.482;1.749;1.902;2.105;2.186;2.238;2.452;2.296;2.270;2.202;2.216;2.302;2.353;2.445;2.553;2.651;2.779;2.890;3.123;3.402;3.702;3.691;3.938;4.066;4.195
Pinhal da Serra;4314464;-27,8634;-51,1702;-;-;-;-;-;-;-;-;-;-;240;325;368;348;344;383;417;396;445;515;553;640;619;658;626;664;656;726
Pinhal Grande;4314472;-29,345;-53,3207;-;-;194;244;306;418;534;568;613;656;686;698;771;761;817;817;848;932;992;1.104;1.124;1.166;1.294;1.488;1.492;1.489;1.523;1.607
Pinheirinho do Vale;4314498;-27,2109;-53,608;-;-;150;243;236;245;269;274;276;301;377;388;514;519;558;587;633;669;742;858;939;1.025;1.233;1.389;1.435;1.477;1.594;1.727
Pinheiro Machado;4314506;-31,5794;-53,3798;3.787;4.035;3.327;3.110;3.401;3.725;3.985;4.135;4.339;4.456;4.287;4.162;4.147;4.254;4.567;4.686;4.947;5.124;5.370;5.821;6.068;6.222;6.621;7.059;6.617;6.725;6.742;6.845
Pinto Bandeira;4314548;-29;-54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;772;960;1.008;1.173;1.231;1.219
Pirapó;4314555;-28,0439;-55,2001;269;251;278;276;276;264;250;267;271;301;322;325;343;343;324;373;381;406;457;506;546;574;590;672;692;720;736;783
Piratini;4314605;-31,4473;-53,0973;2.093;2.147;2.334;2.430;2.655;3.066;3.343;3.461;3.671;3.922;4.025;4.320;4.488;4.467;4.990;5.291;5.645;5.869;6.116;6.426;7.008;7.356;7.872;8.515;8.239;8.312;8.702;8.997
Planalto;4314704;-27,3297;-53,0575;1.830;1.821;1.873;1.981;2.136;2.254;2.385;2.364;2.439;2.725;2.741;2.801;2.847;2.856;3.026;2.990;3.092;3.161;3.303;3.582;3.754;4.257;4.573;5.168;5.281;5.319;5.512;5.711
Poço das Antas;4314753;-29,4481;-51,6719;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;1;1;0;0
Ponte Preta;4314787;-27,6587;-52,4848;-;-;49;77;126;136;146;156;156;176;181;187;224;212;217;233;278;271;285;335;335;382;431;467;481;470;532;544
Portão;4314803;-29,7015;-51,2429;8.113;8.399;8.929;9.552;10.327;11.251;12.364;12.810;13.529;14.201;14.506;14.756;15.353;15.951;16.978;17.426;18.858;19.407;20.444;22.094;23.124;25.436;27.558;31.389;29.494;30.507;31.224;32.207
Porto Alegre;4314902;-30,032778;-51,23;875.499;871.880;885.764;912.415;988.730;1.044.115;1.114.541;1.121.213;1.147.876;1.172.563;1.135.166;1.116.343;1.100.643;1.089.828;1.113.254;1.117.783;1.188.227;1.167.141;1.200.723;1.241.628;1.222.319;1.248.579;1.281.941;1.372.737;1.255.614;1.292.701;1.241.311;1.287.232
Porto Lucena;4315008;-27,8569;-55,01;1.154;1.108;1.048;1.043;1.158;1.269;1.316;1.249;1.236;1.246;1.174;1.158;1.141;1.132;1.150;1.168;1.229;1.272;1.328;1.433;1.539;1.649;1.680;1.948;1.929;2.008;2.063;2.144
Porto Mauá;4315057;-27,5796;-54,6657;-;-;367;462;484;507;571;574;606;617;631;615;640;674;692;676;685;691;761;793;810;835;848;962;955;1.019;1.066;1.111
Porto Vera Cruz;4315073;-27,7405;-54,8994;-;-;182;218;227;252;249;237;250;286;263;323;272;264;268;281;281;275;305;328;348;354;356;412;411;460;494;515
Porto Xavier;4315107;-27,9082;-55,1379;1.681;1.744;1.862;1.990;2.207;2.342;2.354;2.568;2.846;2.851;2.811;2.778;2.710;2.795;2.931;2.916;3.072;3.444;3.658;3.722;3.905;4.117;4.253;4.759;4.759;4.996;5.109;5.429
Presidente Lucena;4315149;-29,5176;-51,1798;-;-;376;437;489;604;539;541;538;605;608;614;738;781;763;767;818;862;915;997;1.099;1.216;1.395;1.619;1.608;1.676;1.758;1.788
Protásio Alves;4315172;-28,7572;-51,4757;123;136;146;150;193;200;234;241;240;241;222;203;263;259;236;251;253;334;351;424;442;451;493;555;562;558;566;606
Putinga;4315206;-29,0045;-52,1569;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;325;1.166;1.168;1.243;1.288;1.375
Quaraí;4315305;-30,384;-56,4483;7.579;7.796;8.151;8.383;8.979;9.578;9.713;9.687;10.497;11.383;10.989;10.780;10.408;10.451;10.671;10.823;11.078;11.430;11.993;12.458;13.299;14.482;14.810;16.827;15.695;16.391;16.399;17.361
Quatro Irmãos;4315313;-27,8163;-52,4419;-;-;-;-;-;-;-;-;-;-;191;216;319;353;365;370;425;419;452;483;508;576;631;659;668;660;734;745
Quevedos;4315321;-29,3504;-54,0789;-;-;89;145;164;204;213;227;299;290;325;333;357;403;417;444;480;502;537;588;640;675;737;856;817;870;900;1.013
Quinze de Novembro;4315354;-28,7465;-53,1011;452;458;527;571;628;682;753;748;789;838;832;845;889;925;960;980;1.005;1.026;1.104;1.180;1.262;1.387;1.466;1.709;1.699;1.869;1.914;1.953
Redentora;4315404;-27,664;-53,6407;788;753;831;878;931;916;922;935;964;981;998;1.025;1.093;1.126;1.200;1.389;1.463;1.531;1.616;1.873;1.911;2.112;2.217;2.471;2.558;2.719;2.813;2.897
Relvado;4315453;-29,1164;-52,0778;209;208;226;257;281;347;428;392;401;396;400;456;468;469;506;522;549;586;621;645;670;691;748;860;890;898;948;961
Restinga Sêca;4315503;-29,8188;-53,3807;5;5;9;11;14;2;4;2;18;19;21;51;92;120;85;75;61;58;75;84;138;145;98;113;133;112;105;161
Rio dos Índios;4315552;-27,2973;-52,8417;-;-;62;79;97;122;126;137;158;185;181;195;385;306;304;352;337;346;397;493;486;545;546;621;660;688;740;783
Rio Grande;4315602;-32,0349;-52,1071;73.168;77.638;78.147;81.354;89.503;93.145;97.644;97.759;99.786;119.095;98.158;95.462;96.908;98.191;101.586;104.246;111.979;116.354;120.527;125.978;133.845;142.455;153.907;160.784;153.374;151.455;151.742;154.732
Rio Pardo;4315701;-29,988;-52,3711;9.948;9.774;10.190;10.542;11.826;12.680;14.086;13.663;14.232;14.811;14.131;13.980;13.835;14.253;14.615;15.181;16.303;17.012;17.644;18.305;19.237;20.843;21.479;24.074;22.366;22.429;22.341;22.964
Riozinho;4315750;-29,639;-50,4488;557;630;666;698;800;906;1.044;1.203;1.273;1.330;1.344;1.368;1.490;1.483;1.488;1.502;1.588;1.627;1.693;1.799;1.924;2.018;2.219;2.453;2.655;2.689;2.741;2.853
Roca Sales;4315800;-29,2884;-51,8658;2.021;2.103;2.190;2.315;2.526;2.931;3.236;3.187;3.238;3.366;3.472;3.598;3.621;3.761;3.911;4.166;4.376;4.470;4.788;5.241;5.607;6.021;6.275;6.732;6.567;6.980;7.104;7.467
Rolador;4315958;-28,25767;-54,81864;-;-;-;-;-;-;-;-;-;-;4;1;20;23;22;23;28;34;32;46;50;53;66;72;74;78;86;88
Rolante;4316006;-29,6462;-50,5819;3.319;3.590;4.108;4.505;4.921;5.527;6.219;6.733;7.121;7.748;7.470;7.432;7.839;7.758;8.001;7.963;8.771;9.098;9.594;10.269;10.999;12.049;13.142;15.078;15.501;16.465;17.273;17.939
Ronda Alta;4316105;-27,7758;-52,8056;1.944;1.883;1.984;2.005;2.156;2.231;2.350;2.378;2.468;2.737;2.642;2.678;2.751;2.808;2.751;2.727;2.922;3.494;3.513;3.802;3.908;4.219;4.549;4.999;4.907;4.997;5.172;5.402
Rondinha;4316204;-27,8315;-52,9081;813;798;852;872;919;972;1.034;1.074;1.082;1.193;1.178;1.181;1.231;1.226;1.255;1.233;1.251;1.410;1.500;1.646;1.694;1.838;1.942;2.232;2.254;2.344;2.405;2.498
Roque Gonzales;4316303;-28,1297;-55,0266;1.073;997;1.087;1.112;1.185;1.235;1.309;1.320;1.365;1.358;1.329;1.197;1.318;1.296;1.361;1.364;1.463;1.674;1.899;2.063;2.131;2.353;2.357;2.762;2.894;2.974;3.124;3.217
Rosário do Sul;4316402;-30,2515;-54,9221;12.236;12.385;13.029;13.332;14.591;15.444;16.151;15.975;16.904;17.805;17.067;17.050;16.863;17.167;17.483;17.934;18.864;19.573;20.461;20.829;21.868;23.487;23.905;26.998;25.064;25.541;25.802;27.415
Sagrada Família;4316428;-27,7085;-53,1351;-;-;53;73;88;111;135;126;146;178;225;273;305;319;330;343;372;400;430;471;497;561;594;734;820;899;961;1.025
Saldanha Marinho;4316436;-28,3941;-53,097;644;690;725;761;813;884;931;962;986;980;950;951;952;994;1.016;1.021;1.071;1.063;1.141;1.180;1.256;1.374;1.485;1.647;1.624;1.699;1.781;1.871
Salto do Jacuí;4316451;-29,0951;-53,2133;2.367;2.586;2.849;3.095;3.507;3.903;4.197;4.320;4.479;4.590;4.616;4.580;4.759;4.906;5.008;5.050;5.389;5.517;5.833;6.006;6.050;6.371;6.805;7.559;7.315;7.681;7.870;8.208
Salvador das Missões;4316477;-28,1233;-54,8373;-;-;261;356;369;417;419;448;449;447;384;319;340;365;390;399;394;496;582;634;692;772;812;986;1.036;1.123;1.238;1.345
Salvador do Sul;4316501;-29,4386;-51,5077;40;34;41;42;54;174;230;104;91;109;111;139;65;24;22;24;35;38;39;44;48;42;41;47;64;49;49;58
Sananduva;4316600;-27,947;-51,8079;3.145;3.267;3.339;3.581;3.899;4.404;4.866;4.895;5.038;5.088;4.971;5.175;5.397;5.469;5.376;5.372;5.440;6.359;6.908;7.246;7.611;8.186;8.640;9.477;9.584;10.206;10.677;11.223
Santa Bárbara do Sul;4316709;-28,3653;-53,251;2.616;2.624;2.767;2.809;3.129;3.254;3.484;3.566;3.642;3.589;3.533;3.507;3.647;3.664;3.638;3.544;3.808;3.844;3.962;4.182;4.303;4.540;4.913;5.545;5.384;5.733;5.811;5.876
Santa Clara do Sul;4316758;-29,4747;-52,0843;-;-;-;-;-;...;...;...;...;...;...;...;8;12;13;12;16;15;14;15;13;12;12;16;15;11;12;12
Santa Cruz do Sul;4316808;-29,722;-52,4343;39.120;40.883;42.441;44.261;48.700;53.344;57.249;60.219;62.783;64.686;64.017;65.434;65.629;67.812;71.054;72.908;78.005;80.845;85.863;91.027;96.329;103.600;107.438;121.312;112.277;116.372;115.821;119.015
Santa Margarida do Sul;4316972;-30,3296;-54,0823;-;-;-;-;-;-;-;-;-;-;-;14;120;166;166;153;145;168;175;166;175;197;205;233;259;282;259;268
Santa Maria;4316907;-29,6868;-53,815;109.567;111.856;115.365;119.773;133.518;143.364;150.840;156.233;166.148;174.678;169.149;171.887;172.776;177.124;183.939;189.493;202.718;207.361;216.923;227.989;239.305;254.337;260.143;291.112;263.553;272.572;270.753;284.512
Santa Maria do Herval;4316956;-29,4902;-50,9919;769;754;845;899;1.097;1.334;1.743;1.690;1.862;1.881;1.903;1.963;2.077;2.153;2.258;2.265;2.419;2.559;2.632;2.779;2.887;2.973;3.153;3.569;3.501;3.645;3.839;3.812
Santa Rosa;4317202;-27,8702;-54,4796;23.879;24.404;25.724;27.015;29.873;31.226;32.697;33.701;34.460;34.384;33.939;33.728;33.432;34.129;35.057;34.637;36.454;38.042;41.481;43.514;46.114;50.501;53.047;61.115;59.014;61.985;63.931;67.407
Santa Tereza;4317251;-29,1655;-51,7351;-;-;281;319;380;418;417;429;445;467;464;435;467;470;465;481;501;527;533;581;579;613;710;764;781;823;819;823
Santa Vitória do Palmar;4317301;-33,525;-53,3717;11.573;12.416;12.862;13.477;14.320;14.855;12.787;12.217;13.422;14.206;13.663;13.493;12.608;11.980;11.913;11.925;12.643;18.600;13.534;15.032;15.789;16.311;18.228;20.185;19.308;19.870;20.274;20.715
Santana da Boa Vista;4317004;-30,8697;-53,11;766;787;853;907;1.022;1.164;1.256;1.297;1.362;1.460;1.459;1.519;1.536;1.651;1.732;1.819;1.928;2.129;2.248;2.341;2.540;2.676;2.857;3.175;3.194;3.242;3.338;3.502
Santana do Livramento;4317103;-30,8877;-55,5315;29.950;30.448;32.047;32.210;35.854;37.668;39.135;39.564;42.030;45.271;43.545;43.251;40.889;40.598;40.763;41.349;43.250;44.532;45.970;47.044;49.530;54.727;58.690;63.565;58.115;60.729;60.640;64.145
Santiago;4317400;-29,1897;-54,8666;16.610;16.670;17.378;18.112;20.136;21.150;21.940;21.938;22.707;23.484;23.053;23.500;23.057;23.510;23.896;24.281;25.514;26.399;27.586;28.989;30.572;32.285;33.745;37.852;35.247;36.738;37.413;38.918
Santo Ângelo;4317509;-28,3001;-54,2668;31.070;30.616;31.323;32.830;36.399;37.935;39.264;40.217;41.332;41.133;39.781;39.307;39.241;39.670;40.388;40.226;42.841;43.912;46.582;49.313;51.204;54.595;56.156;64.769;62.154;66.039;67.464;71.154
