variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santo Antônio da Patrulha;4317608;-29,8268;-50,5175;10.163;10.009;10.344;11.291;12.376;13.548;15.076;14.567;15.264;15.971;15.593;15.555;15.511;15.694;16.557;16.777;18.022;10.822;19.828;20.407;22.569;23.755;25.490;28.597;27.373;28.199;30.060;29.405
Santo Antônio das Missões;4317707;-28,514;-55,2251;207;105;97;99;120;93;101;70;86;99;126;154;283;371;306;257;261;283;310;331;330;350;341;363;384;374;358;372
Santo Antônio do Palma;4317558;-28,4956;-52,0267;-;-;75;94;129;151;158;168;189;219;215;229;267;264;270;291;303;328;366;435;438;479;532;620;628;673;704;747
Santo Augusto;4317806;-27,8526;-53,7776;4.236;4.251;4.449;4.549;4.874;4.943;5.035;5.108;5.208;5.444;5.097;5.197;5.227;5.232;5.245;5.065;5.369;5.624;6.113;6.561;6.776;7.349;7.780;8.842;8.646;9.077;9.478;9.912
Santo Cristo;4317905;-27,8263;-54,662;2.781;2.823;3.005;3.182;3.461;3.723;3.949;4.132;4.239;4.229;4.115;4.147;4.150;4.179;4.306;4.354;4.504;4.792;5.329;5.597;6.008;6.821;7.049;8.100;8.006;8.492;8.826;9.286
Santo Expedito do Sul;4317954;-27,9074;-51,6433;-;-;1;-;-;-;-;...;4;12;9;5;48;32;28;38;26;36;30;55;56;57;80;126;127;119;110;105
São Borja;4318002;-28,6578;-56,0036;25.043;24.006;24.415;25.124;27.418;27.645;28.189;28.276;30.372;32.379;30.654;30.210;29.949;31.044;31.790;32.599;34.464;35.641;37.675;39.238;41.825;44.602;44.856;51.112;47.145;47.524;48.422;50.211
São Domingos do Sul;4318051;-28,5312;-51,886;279;296;320;347;397;475;526;546;581;616;575;589;623;636;651;672;719;748;824;879;918;968;1.027;1.110;1.118;1.158;1.165;1.248
São Francisco de Assis;4318101;-29,5547;-55,1253;5.323;5.358;4.538;4.204;4.729;5.050;5.142;5.351;5.558;5.876;5.788;5.841;5.894;6.009;6.147;6.231;6.500;6.926;7.421;7.705;8.120;8.645;8.853;9.983;9.433;9.592;9.823;10.291
São Francisco de Paula;4318200;-29,4404;-50,5828;4.616;4.628;4.991;5.240;5.809;6.246;6.601;7.080;7.549;7.770;7.462;7.342;7.831;8.039;8.249;8.406;8.895;9.396;9.663;10.317;10.971;11.511;12.782;14.125;14.366;14.916;15.296;16.266
São Gabriel;4318309;-30,3337;-54,3217;17.852;18.612;19.111;19.745;21.843;23.156;24.851;25.135;26.169;27.233;26.477;26.227;25.603;26.340;27.197;28.024;28.838;30.026;31.652;33.614;35.324;37.900;39.402;44.052;40.680;41.949;42.682;45.165
São Jerônimo;4318408;-29,9716;-51,7251;6.552;6.454;6.705;6.605;7.745;8.330;9.055;9.164;9.308;9.286;9.318;9.110;9.269;9.506;9.879;10.013;10.656;8.734;11.350;11.721;12.613;12.985;13.987;15.632;14.597;14.761;14.991;15.165
São João da Urtiga;4318424;-27,8195;-51,8257;435;492;546;585;659;705;737;773;796;877;915;946;996;1.016;1.045;1.081;1.143;1.204;1.263;1.375;1.455;1.727;1.718;1.934;1.981;2.143;2.289;2.376
São João do Polêsine;4318432;-29,6194;-53,4439;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;-;1;0;-;-;0;0;0;-;1;5;8;1
São Jorge;4318440;-28,4984;-51,7064;376;359;394;447;480;510;565;604;648;707;681;682;775;715;715;808;925;955;1.057;1.109;1.118;1.185;1.240;1.319;1.306;1.418;1.446;1.470
São José das Missões;4318457;-27,7789;-53,1226;-;-;107;157;167;196;201;191;193;236;234;245;309;321;348;325;347;430;461;530;541;622;691;765;800;868;933;937
São José do Hortêncio;4318481;-29,528;-51,245;315;347;381;437;498;746;936;962;906;948;1.054;1.359;1.434;1.446;1.527;1.507;1.578;1.648;1.713;1.811;1.909;2.043;2.126;2.459;2.403;2.509;2.496;2.565
São José do Inhacorá;4318499;-27,7251;-54,1275;-;-;170;235;253;299;351;369;367;402;397;372;405;404;402;384;374;416;450;522;558;691;713;868;920;962;987;1.046
São José do Norte;4318507;-32,0151;-52,0331;3.405;3.327;3.492;3.755;4.225;4.550;5.185;5.506;5.879;6.157;6.397;6.517;6.523;6.659;7.030;7.469;8.284;12.804;9.459;10.714;11.466;12.361;13.569;15.171;15.073;15.539;15.841;15.722
São José do Ouro;4318606;-27,7707;-51,5966;1.661;1.583;1.600;1.657;1.761;1.898;2.026;2.105;2.113;2.233;2.236;2.240;2.436;2.484;2.537;2.510;2.548;2.642;2.817;2.970;3.147;3.346;3.542;3.957;3.928;4.092;4.223;4.385
São José do Sul;4318614;-29,529;-51,4871;-;-;-;-;-;-;-;-;-;-;-;...;188;202;206;261;305;318;317;335;387;397;389;473;621;634;676;674
São José dos Ausentes;4318622;-28,7476;-50,0677;-;-;289;329;384;487;581;567;594;677;689;712;863;888;875;905;980;1.027;1.120;1.219;1.230;1.374;1.480;1.616;1.780;1.880;2.078;2.268
São Leopoldo;4318705;-29,7545;-51,1498;84.997;86.843;90.220;93.379;102.900;108.515;117.287;120.127;125.983;132.180;130.121;120.417;132.052;132.135;137.638;141.160;150.700;153.297;159.232;168.004;174.806;188.054;198.582;220.103;199.137;199.678;199.054;200.434
São Lourenço do Sul;4318804;-31,3564;-51,9715;8.218;8.541;9.054;9.218;10.198;10.763;12.089;12.018;12.272;12.606;12.447;12.104;12.260;12.427;12.670;12.895;13.777;14.043;14.658;15.722;16.385;17.354;18.502;20.587;19.753;20.039;20.669;21.280
São Luiz Gonzaga;4318903;-28,412;-54,9559;12.894;12.441;13.530;13.574;14.941;15.321;15.693;16.146;16.149;16.103;15.622;14.764;15.271;15.451;15.524;15.402;15.916;16.551;17.788;18.828;19.700;21.176;21.835;25.137;24.154;25.082;26.149;27.604
São Marcos;4319000;-28,9677;-51,0696;5.872;5.833;6.220;6.446;7.283;8.157;7.977;9.171;9.258;9.866;9.457;9.653;9.848;9.550;9.496;9.578;10.283;10.917;11.686;12.135;12.774;13.420;14.476;15.460;15.206;15.642;15.690;16.314
São Martinho;4319109;-27,7112;-53,9699;1.526;1.443;1.525;1.589;1.777;1.740;1.780;1.775;1.764;1.796;1.721;1.733;1.723;1.731;1.796;1.779;1.842;1.929;2.074;2.262;2.338;2.578;2.684;3.049;3.130;3.259;3.390;3.589
São Martinho da Serra;4319125;-29,5397;-53,859;-;-;117;156;220;261;299;324;398;418;445;493;505;538;570;604;651;686;772;780;831;917;971;1.079;1.102;1.149;1.208;1.282
São Miguel das Missões;4319158;-28,556;-54,5559;-;-;-;-;-;-;-;...;2;3;...;6;37;35;35;27;18;14;19;20;25;23;25;11;4;5;2;2
São Nicolau;4319208;-28,1834;-55,2654;867;793;867;986;1.040;1.116;1.192;1.297;1.378;1.343;1.315;1.218;1.410;1.353;1.429;1.456;1.458;1.529;1.632;1.763;1.841;1.929;2.013;2.381;2.397;2.513;2.717;2.778
São Paulo das Missões;4319307;-28,0195;-54,9404;637;689;743;767;839;888;934;1.003;1.097;1.039;1.017;977;962;1.008;1.057;1.108;1.148;1.222;1.381;1.469;1.594;1.738;1.825;2.040;1.979;2.080;2.183;2.286
São Pedro das Missões;4319364;-27,77322;-53,25047;-;-;-;-;-;-;-;-;-;-;38;57;96;111;148;168;195;278;269;333;342;412;486;552;572;577;592;587
São Pedro do Butiá;4319372;-28,1243;-54,8926;-;-;347;432;449;489;535;579;568;569;577;575;591;585;604;635;644;692;780;940;1.014;1.093;1.112;1.351;1.398;1.493;1.554;1.611
São Pedro do Sul;4319406;-29,6202;-54,1855;3.664;3.814;3.974;4.190;4.772;5.113;5.545;5.500;5.907;6.036;6.140;6.141;6.081;6.276;6.437;6.637;6.910;7.164;7.731;8.204;8.538;9.023;9.282;10.514;9.682;9.978;10.111;10.748
São Sebastião do Caí;4319505;-29,5885;-51,3749;7.299;7.342;7.549;7.950;8.864;10.033;11.052;11.229;11.568;12.578;12.594;12.601;12.530;12.974;13.649;13.813;14.729;14.778;15.878;16.806;17.794;19.213;20.265;22.774;21.896;22.225;21.863;22.439
São Sepé;4319604;-30,1643;-53,5603;6.842;7.124;7.266;7.540;8.365;9.027;9.416;9.431;9.869;10.036;9.856;9.743;9.717;10.093;10.201;10.387;10.807;11.352;11.859;12.479;12.903;13.738;14.050;15.708;14.655;14.858;15.055;16.014
São Valentim;4319703;-27,5583;-52,5237;679;656;723;763;818;881;840;854;826;834;826;849;892;891;892;927;928;950;1.074;1.144;1.199;1.299;1.389;1.447;1.485;1.538;1.592;1.683
São Valentim do Sul;4319711;-29,0451;-51,7684;-;-;104;153;195;206;213;228;233;244;225;220;291;301;320;328;357;358;408;421;425;454;486;559;584;610;664;683
São Valério do Sul;4319737;-27,7906;-53,9368;-;-;104;247;263;287;309;337;352;393;375;376;389;413;412;385;389;423;487;520;544;616;664;746;736;767;776;819
São Vendelino;4319752;-29,3729;-51,3675;217;214;233;255;288;357;497;522;533;572;595;664;689;738;764;789;852;908;962;1.040;1.130;1.269;1.354;1.547;1.558;1.599;1.607;1.636
São Vicente do Sul;4319802;-29,6882;-54,6826;1.478;1.549;1.692;1.759;2.000;2.088;2.434;2.388;2.611;2.773;3.618;2.792;2.820;2.903;3.034;3.112;3.298;3.421;3.705;3.823;4.118;4.441;4.492;5.146;4.895;4.871;4.998;5.353
Sapiranga;4319901;-29,6349;-51,0065;22.165;24.771;26.712;28.442;30.245;33.519;35.407;34.660;36.472;39.090;40.426;41.639;42.793;44.149;46.167;46.695;49.305;51.509;52.716;56.802;61.059;67.055;69.218;78.991;73.646;76.086;77.787;79.535
Sapucaia do Sul;4320008;-29,8276;-51,145;42.111;43.117;44.806;46.699;51.887;55.636;60.233;62.026;64.130;66.723;67.879;68.569;68.146;69.339;73.098;74.551;78.843;82.181;84.508;89.457;95.241;102.902;106.392;118.408;107.401;108.799;108.623;110.840
Sarandi;4320107;-27,942;-52,9231;4.892;5.055;5.110;5.236;5.713;6.385;6.842;7.180;7.310;7.977;7.606;7.827;7.988;8.218;8.426;8.225;9.096;9.539;10.191;10.722;11.258;12.134;13.151;14.928;14.978;16.115;16.414;17.051
Seberi;4320206;-27,4829;-53,4026;1.784;1.726;1.830;1.894;2.075;2.175;2.241;2.269;2.390;2.415;2.396;2.369;2.507;2.519;2.527;2.566;2.767;3.115;3.304;3.592;3.974;4.327;4.644;5.378;5.449;6.025;6.276;6.628
Sede Nova;4320230;-27,6367;-53,9493;457;432;474;496;535;567;561;552;557;577;596;605;642;635;627;631;651;697;767;844;904;982;1.069;1.180;1.254;1.235;1.307;1.331
Segredo;4320263;-29,3523;-52,9767;503;504;512;519;541;597;644;613;576;564;589;616;643;706;718;742;774;807;843;899;983;1.040;1.102;1.251;1.266;1.343;1.282;1.341
Selbach;4320305;-28,6294;-52,9498;97;91;101;115;139;157;157;173;168;174;175;180;176;175;171;178;190;193;204;218;222;226;230;-;-;0;0;0
Senador Salgado Filho;4320321;-28,025;-54,5507;-;-;-;-;-;-;...;...;1;5;3;4;5;2;2;3;1;1;1;2;1;2;0;-;4;5;0;0
Sentinela do Sul;4320354;-30,6107;-51,5862;-;-;482;586;697;730;934;873;890;951;946;879;831;815;811;843;946;1.046;1.164;1.253;1.351;1.448;1.621;1.816;1.683;1.680;1.791;1.820
Serafina Corrêa;4320404;-28,7126;-51,9353;2.303;2.487;2.796;2.964;3.387;3.640;4.002;4.235;4.387;4.704;4.557;4.575;4.877;5.039;5.341;5.615;6.111;6.884;7.497;7.943;8.635;9.265;10.153;11.284;11.199;11.842;12.155;12.649
Sério;4320453;-29,3904;-52,2685;-;-;-;-;-;...;...;...;2;5;12;6;12;12;9;10;13;15;22;19;19;15;15;18;17;14;19;19
Sertão;4320503;-27,9798;-52,2588;1.340;1.322;1.351;1.408;1.550;1.633;1.750;1.791;1.817;1.882;1.799;1.766;1.780;1.789;1.889;1.907;1.977;2.027;2.168;2.199;2.274;2.469;2.646;2.943;2.951;3.238;3.147;3.248
Sertão Santana;4320552;-30,4562;-51,6017;-;-;577;739;826;863;931;882;939;962;994;940;940;962;972;987;1.114;1.186;1.313;1.439;1.493;1.579;1.727;1.919;1.840;1.887;2.062;2.041
Sete de Setembro;4320578;-28,1362;-54,4637;-;-;-;-;-;-;16;204;205;226;223;220;244;255;265;271;284;309;311;354;342;386;406;473;489;515;517;554
Severiano de Almeida;4320602;-27,4362;-52,1217;414;426;469;503;538;549;611;646;650;727;733;744;812;811;828;846;885;936;997;1.156;1.178;1.254;1.344;1.466;1.491;1.541;1.635;1.694
Silveira Martins;4320651;-29,6467;-53,591;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;4;5;8;10;21;21;18;18
Sinimbu;4320677;-29,5357;-52,5305;-;-;792;923;995;1.088;1.096;1.109;1.154;1.235;1.248;1.322;1.381;1.452;1.600;1.531;1.636;1.649;1.763;1.910;2.025;2.129;2.219;2.398;2.288;2.345;2.394;2.434
Sobradinho;4320701;-29,4194;-53,0326;3.764;3.926;4.119;4.167;4.395;4.744;5.028;5.146;5.307;5.608;5.652;5.572;5.668;6.017;6.266;6.331;6.665;6.938;7.231;7.612;8.049;8.676;9.107;9.945;9.309;9.719;9.825;10.173
Soledade;4320800;-28,8306;-52,5131;7.463;7.349;7.468;7.971;8.781;9.274;10.103;10.067;10.323;10.638;10.563;10.797;10.898;11.167;11.270;11.366;12.329;12.422;13.129;13.632;14.104;15.094;16.564;18.295;18.328;19.381;20.146;21.352
Tabaí;4320859;-29,643;-51,6823;-;-;-;-;-;-;12;13;12;13;12;13;19;20;21;22;21;19;22;25;30;29;30;41;46;35;35;33
Tapejara;4320909;-28,0652;-52,0097;150;160;34;-;-;-;-;-;...;2;3;1;-;1;0;0;0;0;0;0;0;0;0;2;2;2;1;0
Tapera;4321006;-28,6277;-52,8612;3.652;3.622;3.684;3.898;4.286;4.574;4.756;4.859;4.931;4.745;4.608;4.708;4.682;4.758;4.814;4.854;4.946;5.179;5.521;5.688;5.947;6.115;6.656;7.271;7.043;7.555;7.355;7.707
Tapes;4321105;-30,6683;-51,3991;5.871;6.155;5.760;5.748;6.231;6.843;7.380;7.574;7.813;7.826;8.081;7.891;7.855;7.957;8.211;8.294;8.724;8.782;9.148;9.577;9.930;10.296;10.910;11.940;11.405;11.309;11.707;11.662
Taquara;4321204;-29,6505;-50,7753;18.309;18.920;19.648;21.407;23.630;26.414;28.441;29.636;31.273;31.556;30.959;30.510;30.105;30.005;30.658;31.169;32.891;33.765;35.139;36.780;38.449;40.990;43.194;47.804;45.926;46.883;48.361;49.383
Taquari;4321303;-29,7943;-51,8653;7.878;7.901;8.220;8.666;9.543;10.005;10.805;11.117;11.456;11.876;11.702;11.626;11.541;11.645;12.200;12.371;13.114;13.692;14.583;15.210;15.950;17.293;17.821;20.008;18.230;18.648;18.112;18.890
Taquaruçu do Sul;4321329;-27,4004;-53,4703;296;320;350;347;386;440;470;454;490;511;536;544;573;566;572;565;579;696;735;788;836;931;1.070;1.226;1.270;1.373;1.442;1.508
Tavares;4321352;-31,2843;-51,088;621;586;641;677;760;916;1.029;1.053;1.141;1.234;1.254;1.299;1.342;1.440;1.534;1.582;1.729;1.732;1.981;2.208;2.396;2.449;2.506;2.613;2.557;2.567;2.764;2.744
Tenente Portela;4321402;-27,3711;-53,7585;3.965;3.663;3.345;3.318;3.643;3.746;3.860;3.996;4.113;4.203;4.062;4.020;3.922;4.070;4.149;4.125;4.249;4.328;4.686;5.376;5.506;5.741;6.153;6.995;7.177;7.699;8.217;8.666
Terra de Areia;4321436;-29,5782;-50,0644;1.981;1.983;2.087;2.302;2.584;3.039;3.877;4.042;4.031;4.182;3.521;3.571;3.714;3.838;4.007;4.193;4.377;4.485;4.878;5.182;5.478;5.918;6.302;6.918;6.721;7.037;7.710;7.734
Teutônia;4321451;-29,4482;-51,8044;...;1;14;20;24;37;46;35;34;34;41;43;50;49;52;56;61;52;48;48;76;95;97;119;109;102;109;128
Tio Hugo;4321469;-28,57404;-52,5949;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;1;2;1;2;2;1;1;2;2;1
Tiradentes do Sul;4321477;-27,4022;-54,0814;-;-;202;340;496;587;626;628;619;671;666;630;677;691;722;760;795;820;859;995;1.036;1.168;1.224;1.408;1.501;1.638;1.757;1.778
Toropi;4321493;-29,4782;-54,2244;-;-;-;-;-;-;112;253;236;319;337;408;417;450;478;484;503;554;601;620;704;724;734;866;900;875;959;1.040
Torres;4321501;-29,3334;-49,7333;13.980;15.029;14.552;17.708;19.178;20.686;22.773;23.448;25.170;26.270;27.018;28.007;28.751;29.083;29.209;30.393;31.783;32.568;34.499;35.755;36.513;37.332;39.205;42.233;42.113;42.745;45.061;44.967
Tramandaí;4321600;-29,9841;-50,1322;16.303;17.464;14.268;19.791;22.441;24.478;25.913;27.837;29.741;30.431;31.051;33.634;34.975;35.494;36.672;38.323;40.276;41.264;43.311;45.780;47.595;49.373;53.000;57.875;57.005;57.280;59.228;59.331
Travesseiro;4321626;-29,2977;-52,0532;-;-;2;-;-;-;-;-;-;-;-;-;...;...;4;3;2;3;4;4;4;5;6;6;5;4;4;4
Três Arroios;4321634;-27,5003;-52,1448;219;235;269;300;332;371;404;404;418;454;452;470;603;577;573;568;583;622;684;769;770;828;903;1.017;1.077;1.071;1.169;1.243
Três Cachoeiras;4321667;-29,4487;-49,9275;1.914;1.973;2.073;2.169;2.511;3.003;3.332;3.500;3.593;3.741;3.575;3.944;3.966;4.158;4.333;4.360;4.509;4.672;4.891;5.030;5.265;5.419;5.741;6.409;6.070;6.135;6.495;6.447
Três Coroas;4321709;-29,5137;-50,7739;5.787;6.162;6.538;6.842;7.661;8.621;9.377;9.871;10.367;11.014;11.205;11.120;11.437;11.700;12.314;12.589;13.941;14.075;14.543;15.451;15.990;17.173;18.233;20.527;20.195;20.541;21.554;22.332
Três de Maio;4321808;-27,78;-54,2357;8.289;7.962;8.280;8.623;9.364;9.637;10.048;10.163;10.492;10.737;10.178;10.068;10.114;10.191;10.500;10.136;10.725;11.096;12.218;12.938;13.375;14.628;15.279;17.317;17.234;17.936;18.694;20.182
Três Forquilhas;4321832;-29,5384;-50,0708;-;-;125;146;160;272;525;425;395;430;371;347;337;331;332;325;352;368;393;451;479;515;566;628;600;655;756;744
Três Palmeiras;4321857;-27,6139;-52,8437;386;386;414;430;479;537;555;565;625;739;726;752;803;868;866;923;996;1.001;1.222;1.275;1.347;1.429;1.727;1.947;2.043;2.133;2.209;2.334
Três Passos;4321907;-27,4555;-53,9296;8.230;8.146;8.567;8.984;10.106;10.355;10.162;10.479;10.386;10.820;10.218;10.311;10.208;10.064;10.270;10.226;10.752;10.793;11.624;12.201;12.818;14.056;14.825;16.731;16.790;17.862;18.836;19.834
Trindade do Sul;4321956;-27,5239;-52,8956;396;415;461;493;577;610;681;748;803;926;922;974;1.083;1.110;1.162;1.221;1.397;1.499;1.640;1.873;1.956;2.201;2.449;2.777;2.897;3.134;3.243;3.407
Triunfo;4322004;-29,9291;-51,7075;3.339;3.558;3.756;3.845;4.685;5.047;5.765;5.940;6.418;6.510;6.312;6.274;6.322;6.666;7.141;7.382;7.885;8.205;8.791;9.224;9.709;10.659;11.345;12.582;11.416;11.337;11.649;11.931
Tucunduva;4322103;-27,6573;-54,4439;2.393;2.283;1.972;1.963;2.149;2.133;2.237;2.309;2.353;2.297;2.233;2.227;2.285;2.287;2.407;2.383;2.462;2.627;2.893;2.984;3.109;3.321;3.420;3.924;3.875;4.035;4.265;4.401
Tunas;4322152;-29,1039;-52,9538;-;-;-;-;-;-;-;...;1;5;13;12;27;28;25;20;39;54;72;88;106;106;108;112;130;138;140;123
Tupanci do Sul;4322186;-27,9241;-51,5383;-;-;93;118;118;132;142;160;179;198;208;217;248;233;240;254;260;277;318;357;345;391;395;436;446;461;509;530
Tupanciretã;4322202;-29,0858;-53,8445;5.840;5.651;5.912;6.064;6.620;7.027;7.606;7.646;7.978;8.247;7.986;8.284;8.396;8.929;8.898;8.930;9.329;9.638;10.160;10.802;11.420;12.247;12.875;14.347;13.904;14.704;14.642;15.350
Tupandi;4322251;-29,4772;-51,4174;84;115;161;200;250;401;534;460;399;474;528;755;816;904;970;996;1.106;1.199;1.345;1.526;1.913;2.186;1.881;2.551;2.649;3.038;3.149;3.024
Tuparendi;4322301;-27,7598;-54,4814;2.556;2.623;2.382;2.465;2.687;2.897;2.972;3.044;3.057;2.999;2.932;2.895;2.928;2.995;3.026;2.982;3.053;3.175;3.436;3.556;3.793;4.205;4.275;4.823;4.788;5.150;5.303;5.454
Turuçu;4322327;-31,4173;-52,1706;-;-;-;-;-;-;210;570;595;605;677;625;658;723;759;759;808;833;822;881;905;1.003;1.105;1.284;1.223;1.195;1.287;1.265
Ubiretama;4322343;-28,0404;-54,6859;-;-;-;-;-;-;16;191;192;212;211;213;242;252;248;241;251;249;271;298;310;343;342;411;412;415;440;445
União da Serra;4322350;-28,7833;-52,0238;-;-;90;105;112;128;135;120;122;134;129;119;163;165;162;171;178;182;211;221;234;238;283;325;332;336;380;388
Unistalda;4322376;-29,04;-55,1517;-;-;-;-;-;-;270;288;294;323;375;384;449;442;443;462;485;542;579;611;655;711;743;851;859;889;940;953
Uruguaiana;4322400;-29,7614;-57,0853;49.961;52.420;55.302;57.894;61.637;62.709;65.231;63.847;67.919;71.816;67.687;66.040;64.071;65.258;66.984;69.340;72.377;75.892;78.797;80.787;84.489;90.181;97.762;105.024;93.854;93.683;94.924;100.637
Vacaria;4322509;-28,5079;-50,9418;17.472;17.814;18.244;19.095;21.061;23.030;26.308;25.155;25.963;26.623;25.439;26.557;26.940;27.527;27.793;28.042;29.515;30.193;31.929;33.972;35.571;37.409;40.293;43.145;42.725;44.503;45.206;46.609
Vale do Sol;4322533;-29,5967;-52,6839;-;-;392;467;493;563;657;723;635;749;852;968;1.336;1.440;1.460;1.412;1.481;1.524;1.660;1.901;1.885;1.933;1.981;2.338;2.331;2.425;2.239;2.305
Vale Real;4322541;-29,3919;-51,2559;-;-;827;1.208;1.344;1.566;1.768;1.873;1.968;2.072;2.128;2.207;2.242;2.380;2.367;2.361;2.590;2.723;2.881;3.177;3.438;3.674;3.969;4.562;4.551;4.853;5.108;5.263
Vanini;4322558;-28,4758;-51,8447;161;176;198;209;249;324;376;411;425;479;467;475;506;537;558;553;591;624;666;710;767;847;948;1.001;1.070;1.142;1.188;1.218
Venâncio Aires;4322608;-29,6143;-52,1932;13.425;14.092;15.184;15.861;17.534;19.539;21.994;29.575;23.443;24.584;24.849;25.359;25.681;26.628;27.982;28.642;30.439;31.768;33.974;36.136;38.407;40.991;42.422;48.019;45.557;46.255;46.864;48.651
Vera Cruz;4322707;-29,7184;-52,5152;3.638;3.967;4.358;4.595;5.134;5.662;6.115;6.611;6.980;7.443;7.560;7.644;7.743;8.143;8.629;8.972;9.521;9.908;10.868;11.926;12.702;13.600;14.698;16.994;16.161;16.889;16.933;17.931
Veranópolis;4322806;-28,9312;-51,5516;5.756;5.957;6.178;6.542;7.412;7.977;8.710;9.194;9.616;10.444;9.972;10.040;11.002;11.332;11.319;11.660;12.910;13.032;13.721;14.451;15.223;15.843;17.091;18.349;17.988;19.037;19.299;20.214
Vespasiano Correa;4322855;-29,0655;-51,8625;-;-;-;-;-;-;267;240;232;245;251;291;305;336;355;352;386;445;466;506;569;631;605;635;656;673;719;746
Viadutos;4322905;-27,5716;-52,0211;766;761;727;797;876;933;947;1.081;1.132;1.202;1.199;1.230;1.320;1.316;1.328;1.363;1.461;1.465;1.570;1.680;1.710;1.815;1.947;2.127;2.223;2.335;2.377;2.394
Viamão;4323002;-30,0819;-51,0194;68.009;67.568;69.699;71.702;80.509;91.432;102.555;108.695;113.340;115.940;112.115;109.926;103.978;100.914;102.553;102.733;108.856;109.523;114.885;119.843;125.929;131.684;142.875;154.487;145.129;143.173;142.666;148.023
Vicente Dutra;4323101;-27,1608;-53,4022;479;465;526;540;615;644;733;798;816;897;969;987;1.104;1.135;1.084;1.098;1.176;1.253;1.338;1.347;1.412;1.478;1.619;1.882;1.856;1.940;2.031;2.124
Victor Graeff;4323200;-28,5632;-52,7495;412;445;474;518;569;613;606;657;668;682;656;655;652;678;712;736;778;808;872;925;989;1.067;1.170;1.331;1.279;1.396;1.429;1.463
Vila Flores;4323309;-28,8598;-51,5504;260;301;334;372;432;496;537;593;647;697;682;662;815;813;833;814;988;975;1.020;1.189;1.236;1.345;1.471;1.696;1.727;1.829;1.933;2.101
Vila Maria;4323408;-28,5359;-52,1487;451;472;517;574;695;795;918;965;1.010;1.054;1.014;1.030;1.024;1.052;1.081;1.103;1.159;1.213;1.319;1.456;1.538;1.666;1.806;2.008;2.175;2.195;2.253;2.402
Vila Nova do Sul;4323457;-30,3461;-53,876;-;-;-;...;7;23;3;...;4;8;5;12;22;35;22;20;19;23;27;31;38;43;46;48;60;60;56;51
Vista Alegre;4323507;-27,3686;-53,4919;222;239;272;301;349;389;405;413;444;458;473;478;510;525;553;584;591;636;690;735;751;816;926;1.060;1.048;1.121;1.231;1.278
Vista Alegre do Prata;4323606;-28,8052;-51,7946;112;120;138;139;169;152;168;193;208;231;231;219;243;246;242;249;275;303;328;447;486;463;497;597;666;669;711;808
Vista Gaúcha;4323705;-27,2902;-53,6974;205;226;262;273;308;317;333;343;351;369;352;323;338;352;386;387;418;438;491;592;617;683;753;866;943;902;919;1.016
Vitória das Missões;4323754;-28,3516;-54,504;-;-;1;...;16;-;...;...;8;11;12;7;30;22;26;30;31;35;47;78;74;70;72;81;88;88;91;93
Xangri-lá;4323804;-29,8065;-50,0519;-;-;5.724;9.484;10.699;11.718;13.215;14.779;15.788;16.394;16.394;17.921;18.813;19.196;19.530;20.818;21.908;23.051;25.117;27.069;28.026;29.928;31.812;36.505;37.034;38.149;41.139;41.093
