variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Lourenço do Sul;4318804;-31,3564;-51,9715;10.112;9.957;10.306;10.391;11.641;10.393;10.456;10.613;12.822;12.668;11.573;11.255;12.854;15.462;16.928;16.172;15.963;18.208;18.440;20.460;22.066;23.772;23.916;26.323;25.777;26.043;30.128;28.498
São Luiz Gonzaga;4318903;-28,412;-54,9559;12.339;12.506;14.582;15.192;14.771;16.453;17.410;17.936;18.086;19.048;14.289;15.311;19.012;20.354;23.107;21.912;20.768;24.052;25.765;10.312;1.397;1.666;1.551;1.778;1.637;1.685;1.755;1.896
São Marcos;4319000;-28,9677;-51,0696;2.291;1.608;1.444;1.578;1.772;1.705;1.504;1.774;1.984;2.054;2.126;2.371;1.949;2.176;2.438;2.647;2.707;3.023;3.579;3.840;3.924;3.543;3.704;4.178;4.237;4.075;4.370;4.645
São Martinho;4319109;-27,7112;-53,9699;1.668;1.679;1.775;1.865;1.978;2.169;2.286;2.409;2.420;2.560;2.536;2.615;2.498;2.578;2.692;2.858;2.949;3.038;3.150;3.127;3.061;3.332;3.347;3.486;3.520;3.523;3.628;3.663
São Martinho da Serra;4319125;-29,5397;-53,859;-;-;331;433;515;612;764;885;1.001;942;1.027;1.041;966;974;1.108;1.110;1.244;1.253;1.342;1.340;1.391;1.493;1.510;1.707;1.519;1.694;1.727;1.900
São Miguel das Missões;4319158;-28,556;-54,5559;-;84;174;174;205;207;211;245;237;218;229;353;208;70;65;76;91;101;101;83;86;96;107;67;24;11;15;9
São Nicolau;4319208;-28,1834;-55,2654;616;406;531;575;572;777;621;665;723;775;808;854;885;1.002;1.174;1.200;1.279;1.516;1.723;2.012;2.139;2.246;2.477;2.931;2.232;2.718;2.434;2.938
São Paulo das Missões;4319307;-28,0195;-54,9404;1.234;1.235;1.337;1.456;1.571;1.661;1.773;1.911;1.989;2.153;2.227;2.269;2.243;2.349;2.475;2.548;2.727;2.907;3.130;1.044;234;256;269;300;292;295;319;321
São Pedro das Missões;4319364;-27,77322;-53,25047;-;-;-;-;-;-;-;-;-;-;191;194;342;662;663;729;784;840;872;843;869;871;882;963;945;949;964;968
São Pedro do Butiá;4319372;-28,1243;-54,8926;-;-;2.363;3.089;3.310;3.597;3.993;4.506;4.404;4.581;4.733;5.609;4.908;5.131;5.693;6.040;6.302;6.781;7.184;2.964;1.529;1.594;1.725;1.812;1.671;1.879;1.979;2.057
São Pedro do Sul;4319406;-29,6202;-54,1855;2.512;2.769;2.776;2.746;3.256;3.256;2.482;1.777;3.106;3.367;3.495;3.805;3.112;2.991;3.664;3.693;3.668;3.810;4.039;3.923;4.257;4.411;4.230;4.806;4.033;4.040;4.317;4.783
São Sebastião do Caí;4319505;-29,5885;-51,3749;1.623;1.688;1.748;1.852;2.134;1.997;1.779;2.002;2.230;2.165;2.589;2.801;2.778;2.746;3.094;3.302;3.532;3.628;3.844;4.036;4.320;4.710;4.785;5.317;4.787;4.845;4.882;5.126
São Sepé;4319604;-30,1643;-53,5603;7.959;7.751;8.702;9.386;10.003;11.047;11.312;10.832;13.294;14.701;13.671;14.212;13.947;14.457;14.659;16.195;15.818;17.024;18.003;18.090;19.042;17.799;18.537;18.954;18.554;18.536;19.593;21.632
São Valentim;4319703;-27,5583;-52,5237;1.282;1.339;1.372;1.464;1.533;1.613;1.221;1.332;1.371;1.397;1.473;1.604;1.356;1.484;1.509;1.550;1.637;1.598;1.635;1.607;1.646;1.737;1.743;1.754;1.675;1.590;1.670;1.755
São Valentim do Sul;4319711;-29,0451;-51,7684;-;-;909;1.083;1.235;1.396;1.483;1.787;2.188;2.251;2.330;2.561;2.841;6.943;11.431;536;628;643;721;668;664;672;661;706;712;711;770;695
São Valério do Sul;4319737;-27,7906;-53,9368;-;-;223;198;224;241;247;257;248;262;285;293;279;296;262;291;293;311;343;347;363;364;388;428;368;384;447;506
São Vendelino;4319752;-29,3729;-51,3675;296;303;349;388;418;391;342;433;497;512;593;589;586;576;649;688;728;755;731;788;851;912;909;998;1.026;1.105;1.116;1.203
São Vicente do Sul;4319802;-29,6882;-54,6826;4.048;3.127;2.972;3.390;4.056;3.476;3.869;2.928;4.885;5.416;3.787;4.103;4.166;5.979;6.565;6.912;6.512;8.427;7.980;7.576;9.613;8.723;7.758;8.467;7.236;6.727;7.734;8.721
Sapiranga;4319901;-29,6349;-51,0065;1.122;1.160;1.171;1.113;1.178;1.012;713;779;898;827;931;916;935;943;1.095;1.173;1.202;1.229;1.261;1.310;1.415;1.547;1.501;1.640;1.473;1.585;1.831;1.945
Sapucaia do Sul;4320008;-29,8276;-51,145;241;128;164;176;201;132;16;26;45;44;48;52;42;26;29;53;62;89;99;70;63;59;68;74;79;109;134;144
Sarandi;4320107;-27,942;-52,9231;3.269;3.216;2.244;2.190;2.147;2.316;5.287;6.400;6.910;8.159;7.722;8.042;8.387;8.374;8.842;9.423;10.305;10.722;10.844;4.751;3.616;3.780;4.069;4.213;3.932;4.069;4.157;4.265
Seberi;4320206;-27,4829;-53,4026;1.344;1.345;1.414;1.576;1.585;1.789;1.977;2.064;2.283;2.632;2.672;2.812;2.722;2.933;3.175;3.346;3.259;3.456;3.706;3.613;3.506;3.416;3.423;3.572;3.721;3.831;4.138;4.312
Sede Nova;4320230;-27,6367;-53,9493;846;872;938;989;1.046;1.124;1.203;1.276;1.332;1.388;1.474;1.496;1.427;1.505;1.550;1.584;1.626;1.668;1.750;1.731;1.837;1.917;1.947;2.066;2.084;1.962;2.346;2.462
Segredo;4320263;-29,3523;-52,9767;1.203;773;255;316;338;413;616;668;840;889;1.127;1.288;1.335;1.346;1.535;1.619;1.686;1.826;1.998;1.996;2.111;2.140;2.185;2.448;2.322;2.325;2.549;2.696
Selbach;4320305;-28,6294;-52,9498;21;25;32;35;30;27;26;28;16;44;42;45;40;40;36;39;43;47;54;61;65;64;53;-;-;0;0;0
Senador Salgado Filho;4320321;-28,025;-54,5507;-;-;-;-;-;-;90;90;79;112;102;110;113;116;111;110;118;115;118;124;123;130;127;140;127;121;127;133
Sentinela do Sul;4320354;-30,6107;-51,5862;-;-;697;872;1.026;1.032;1.060;1.290;1.533;1.687;1.750;1.850;2.010;2.302;2.517;2.424;2.434;2.451;2.549;2.562;2.698;2.741;2.860;3.075;2.987;2.968;3.404;3.434
Serafina Corrêa;4320404;-28,7126;-51,9353;1.790;1.846;1.750;1.858;1.973;2.314;2.571;2.772;2.866;3.223;3.393;3.573;3.163;3.231;3.546;3.607;3.908;4.400;4.577;4.539;4.674;4.603;4.854;5.185;5.311;5.284;5.330;5.648
Sério;4320453;-29,3904;-52,2685;-;-;-;-;-;111;169;154;163;210;219;233;243;239;259;269;280;274;296;309;306;307;318;343;317;227;335;312
Sertão;4320503;-27,9798;-52,2588;3.232;3.010;3.090;2.881;3.464;3.495;3.786;4.437;4.253;5.619;5.672;5.637;5.811;5.809;6.308;6.559;6.644;6.728;7.141;2.411;1.313;1.382;1.458;1.634;1.398;1.112;1.103;1.072
Sertão Santana;4320552;-30,4562;-51,6017;-;-;2.194;2.471;2.890;3.083;3.309;3.653;4.083;4.506;4.694;5.394;6.254;7.388;7.740;7.685;7.728;7.993;8.531;8.919;3.035;3.158;3.203;3.511;3.306;3.250;3.790;3.735
Sete de Setembro;4320578;-28,1362;-54,4637;-;-;-;-;-;-;34;539;526;629;675;706;721;770;790;853;863;903;940;1.000;1.026;1.099;1.074;1.142;1.138;1.114;1.165;1.144
Severiano de Almeida;4320602;-27,4362;-52,1217;1.028;1.130;1.206;1.292;1.409;1.545;1.746;1.777;1.878;1.959;2.026;2.139;2.035;2.281;2.289;2.354;2.436;2.605;2.550;2.429;2.367;2.530;2.639;2.729;2.617;2.601;2.793;2.920
Silveira Martins;4320651;-29,6467;-53,591;-;-;-;-;-;-;-;-;-;-;-;-;38;73;80;60;77;81;91;92;105;116;117;113;90;91;92;95
Sinimbu;4320677;-29,5357;-52,5305;-;-;2.859;3.174;3.321;3.572;3.104;2.917;3.139;3.063;3.559;4.259;4.212;3.423;3.918;4.092;4.185;4.283;4.508;4.745;4.951;5.048;5.270;5.538;5.058;4.653;5.206;5.314
Sobradinho;4320701;-29,4194;-53,0326;2.367;3.195;3.350;3.533;3.911;4.455;3.556;3.326;3.587;4.008;4.702;4.928;3.791;3.766;4.064;4.169;4.405;4.515;4.619;4.668;5.013;5.297;5.275;5.974;5.349;5.452;5.720;5.961
Soledade;4320800;-28,8306;-52,5131;4.969;5.366;5.627;5.991;6.494;3.746;4.845;3.173;5.442;4.693;5.218;5.829;6.294;8.785;10.477;8.641;6.821;7.528;7.789;9.779;9.585;7.025;632;710;730;756;770;770
Tabaí;4320859;-29,643;-51,6823;-;-;-;-;-;-;98;108;117;108;140;182;145;139;158;169;191;182;189;184;183;187;179;189;180;189;198;202
Tapejara;4320909;-28,0652;-52,0097;7.938;8.465;8.132;7.768;9.578;9.359;10.566;10.710;12.417;13.840;14.274;15.498;16.266;18.813;19.280;21.773;27.051;30.306;33.745;7.825;61;65;60;65;66;50;59;66
Tapera;4321006;-28,6277;-52,8612;5.422;5.994;6.204;6.350;7.787;8.866;10.926;10.700;10.424;11.624;15.020;20.780;24.906;25.507;25.810;33.029;37.705;28.347;29.935;5.729;598;615;640;748;726;746;1.007;1.029
Tapes;4321105;-30,6683;-51,3991;5.384;5.700;2.986;3.028;3.680;2.885;3.567;2.765;4.542;3.978;2.797;3.050;3.764;5.263;6.295;5.212;4.205;6.127;5.059;5.326;6.519;6.167;5.655;6.276;5.623;6.165;5.852;7.200
Taquara;4321204;-29,6505;-50,7753;3.851;3.700;3.860;4.175;4.420;3.616;3.855;4.308;4.757;4.933;5.352;5.441;4.974;5.638;6.142;6.139;6.649;6.857;7.513;6.496;5.556;5.873;5.781;6.348;5.940;5.875;6.296;6.460
Taquari;4321303;-29,7943;-51,8653;13.286;13.614;15.261;15.822;17.435;19.889;22.844;25.314;28.671;29.069;32.960;32.600;34.061;34.537;37.530;37.932;42.889;43.547;42.706;46.066;45.515;47.886;17.010;12.398;10.905;946;845;923
Taquaruçu do Sul;4321329;-27,4004;-53,4703;300;286;294;310;370;419;437;442;511;618;634;722;663;721;752;863;870;785;778;792;860;942;920;950;929;950;1.063;1.163
Tavares;4321352;-31,2843;-51,088;724;970;1.065;1.082;1.107;1.254;1.360;1.431;1.542;1.642;1.593;2.072;2.188;2.659;2.489;2.497;2.069;2.535;2.159;2.647;2.811;2.909;2.613;3.101;3.316;3.179;3.671;4.331
Tenente Portela;4321402;-27,3711;-53,7585;3.125;3.070;2.123;1.809;1.928;2.108;2.220;2.392;2.427;2.752;2.726;2.799;2.801;2.877;3.095;3.042;3.186;3.440;3.685;3.948;4.112;4.202;4.495;4.532;4.113;4.039;4.405;4.630
Terra de Areia;4321436;-29,5782;-50,0644;1.928;2.066;2.169;2.354;2.577;2.675;2.262;2.445;2.586;2.906;1.617;1.538;1.611;1.786;2.085;2.295;2.341;2.395;2.423;2.352;2.334;2.342;2.259;2.588;2.275;2.132;2.201;2.219
Teutônia;4321451;-29,4482;-51,8044;234;253;271;286;325;361;330;359;451;424;527;603;647;649;737;748;821;873;976;1.061;978;1.026;1.043;1.124;1.199;1.298;1.356;1.437
Tio Hugo;4321469;-28,57404;-52,5949;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7;6;6;7;23;102;89;17;11;10;11;11;10
Tiradentes do Sul;4321477;-27,4022;-54,0814;-;-;1.565;2.288;2.311;2.389;2.474;2.682;2.769;3.067;3.203;3.350;3.300;3.337;3.566;3.659;3.846;3.895;4.002;4.045;4.414;4.651;4.529;4.795;4.647;4.592;4.752;4.899
Toropi;4321493;-29,4782;-54,2244;-;-;-;-;-;-;484;971;1.081;1.326;1.624;1.610;1.522;1.534;1.708;1.695;1.712;1.771;1.831;1.776;1.813;1.895;1.876;1.999;1.841;1.891;2.010;2.051
Torres;4321501;-29,3334;-49,7333;7.862;8.222;7.067;7.263;8.521;8.962;8.498;8.444;9.232;10.272;10.294;11.025;11.099;12.307;10.351;14.497;15.973;15.088;18.374;18.634;2.937;3.119;3.220;3.501;3.369;3.247;3.208;3.079
Tramandaí;4321600;-29,9841;-50,1322;444;13;6;...;...;-;-;-;-;-;106;159;180;254;255;244;178;175;202;234;212;224;216;206;211;206;230;348
Travesseiro;4321626;-29,2977;-52,0532;-;-;6;12;21;19;24;16;21;23;33;35;26;24;36;34;37;36;40;41;38;40;44;53;59;45;59;61
Três Arroios;4321634;-27,5003;-52,1448;893;1.032;1.055;1.170;1.158;1.294;1.437;1.508;1.631;1.702;1.718;1.787;1.620;1.657;1.717;1.845;2.062;2.186;2.143;2.183;2.087;2.225;2.274;2.265;2.224;2.163;2.234;2.361
Três Cachoeiras;4321667;-29,4487;-49,9275;1.443;1.531;1.518;1.564;1.715;1.794;2.008;2.075;2.268;2.666;2.541;2.527;2.506;2.578;2.668;2.746;2.837;2.854;2.781;2.880;2.886;3.012;3.129;3.430;3.347;3.412;3.648;3.615
Três Coroas;4321709;-29,5137;-50,7739;368;388;388;379;393;397;450;513;583;616;632;718;555;617;715;796;895;884;914;930;939;1.002;1.001;1.097;1.067;1.131;1.279;1.338
Três de Maio;4321808;-27,78;-54,2357;7.179;6.385;6.388;6.647;7.029;7.292;7.674;7.759;7.793;7.672;4.744;4.447;3.305;6.685;6.268;7.416;7.632;7.960;7.818;6.937;9.722;14.863;16.803;27.134;28.881;32.110;36.571;33.037
Três Forquilhas;4321832;-29,5384;-50,0708;-;-;809;965;1.058;1.078;982;1.165;1.258;1.514;1.462;1.522;1.576;1.594;1.676;1.751;1.811;1.794;1.883;1.983;1.984;2.085;2.122;2.369;2.375;2.346;2.509;2.402
Três Palmeiras;4321857;-27,6139;-52,8437;610;598;627;857;899;1.006;1.154;1.290;1.417;1.911;1.978;1.942;1.944;1.987;1.974;2.022;2.009;2.173;2.577;2.647;2.663;2.749;2.474;2.620;2.553;2.546;2.828;2.760
Três Passos;4321907;-27,4555;-53,9296;6.316;6.583;5.126;4.566;4.767;5.224;3.978;4.028;4.191;4.455;4.515;4.762;4.548;4.635;4.866;5.004;5.418;5.520;5.679;5.703;5.972;6.547;6.956;7.509;7.809;8.219;8.683;9.220
Trindade do Sul;4321956;-27,5239;-52,8956;600;548;651;729;791;911;1.058;1.126;1.147;1.351;1.528;1.583;1.645;1.643;1.829;2.114;2.359;2.713;2.562;2.501;2.042;2.235;2.129;2.297;2.243;2.231;2.498;2.692
Triunfo;4322004;-29,9291;-51,7075;8.380;9.526;10.636;9.456;12.250;11.924;13.663;15.166;18.227;18.748;19.784;21.506;24.658;25.618;26.884;27.611;30.476;32.489;23.570;16.114;17.076;17.767;64.288;83.950;81.047;1.424;1.067;992
Tucunduva;4322103;-27,6573;-54,4439;3.774;3.544;1.440;1.005;1.051;1.132;1.179;1.212;1.278;1.436;1.425;1.414;1.251;1.357;1.369;1.412;1.384;1.424;1.299;1.209;1.251;1.332;1.319;1.388;1.256;1.343;1.486;1.452
Tunas;4322152;-29,1039;-52,9538;-;20;83;94;101;134;188;197;230;249;277;346;355;310;434;463;495;512;537;564;561;575;615;631;624;649;801;816
Tupanci do Sul;4322186;-27,9241;-51,5383;-;-;299;395;431;512;555;587;565;561;600;642;653;692;723;796;842;829;869;858;900;974;955;985;937;930;954;975
Tupanciretã;4322202;-29,0858;-53,8445;3.431;4.048;4.439;4.684;4.917;5.570;6.107;6.817;6.370;7.371;8.356;8.998;9.527;10.157;11.710;12.005;12.799;15.090;15.646;4.612;1.784;1.862;1.438;1.804;1.380;1.517;1.354;1.392
Tupandi;4322251;-29,4772;-51,4174;634;655;661;688;777;733;815;1.169;1.233;1.167;1.655;1.863;1.677;1.929;2.269;2.399;2.560;2.959;3.381;3.489;3.329;3.431;3.883;3.779;3.416;3.496;3.536;3.957
Tuparendi;4322301;-27,7598;-54,4814;4.333;3.544;3.208;3.387;3.612;3.904;4.265;4.352;4.462;4.662;4.361;4.717;4.580;4.683;4.756;4.984;5.137;5.269;5.464;5.422;5.554;6.066;6.010;6.450;6.246;6.226;6.048;6.587
Turuçu;4322327;-31,4173;-52,1706;-;-;-;-;-;-;308;1.273;1.436;1.428;1.356;1.328;1.714;1.939;2.074;1.829;2.033;2.140;2.340;2.324;2.494;2.415;2.299;2.801;2.773;2.806;3.018;2.968
Ubiretama;4322343;-28,0404;-54,6859;-;-;-;-;-;-;48;580;513;703;625;641;618;651;686;706;729;761;769;756;755;845;844;891;883;875;917;928
União da Serra;4322350;-28,7833;-52,0238;-;-;333;397;413;457;471;501;526;569;598;628;597;614;673;666;726;785;771;787;774;841;863;915;889;891;964;1.018
Unistalda;4322376;-29,04;-55,1517;-;-;-;-;-;-;256;440;511;531;552;744;733;632;691;703;732;730;790;825;896;950;951;1.066;966;979;1.074;1.108
Uruguaiana;4322400;-29,7614;-57,0853;107.462;87.026;82.125;97.064;97.678;72.431;53.770;48.972;77.267;71.859;70.624;76.497;91.275;110.197;111.356;121.216;87.265;132.865;121.211;123.117;120.597;121.488;130.307;118.830;114.353;119.250;121.952;132.599
Vacaria;4322509;-28,5079;-50,9418;4.007;3.829;3.625;3.840;4.576;4.465;4.019;4.105;4.819;5.635;6.221;7.665;8.760;12.459;11.968;11.759;12.939;13.666;16.533;16.942;16.821;23.492;32.952;37.446;38.207;37.956;45.139;46.224
Vale do Sol;4322533;-29,5967;-52,6839;-;-;2.615;2.907;3.013;3.254;3.980;4.135;4.259;4.436;5.403;6.164;6.115;5.469;6.307;6.508;6.666;6.793;7.000;7.464;7.851;8.067;8.308;9.009;8.409;8.286;8.887;8.946
Vale Real;4322541;-29,3919;-51,2559;-;-;650;572;615;591;546;661;737;811;754;737;654;740;768;816;896;908;956;872;852;859;860;931;861;885;936;967
Vanini;4322558;-28,4758;-51,8447;272;314;318;353;354;339;333;361;360;417;445;494;472;487;506;533;600;612;611;618;656;673;670;719;724;733;758;791
Venâncio Aires;4322608;-29,6143;-52,1932;10.328;11.443;10.718;10.783;11.424;12.413;14.176;17.959;14.027;14.419;15.551;17.897;18.151;16.634;18.642;19.531;20.575;20.570;21.144;21.584;22.272;22.847;23.090;25.355;23.301;21.674;24.902;25.106
Vera Cruz;4322707;-29,7184;-52,5152;3.269;3.481;3.566;3.658;3.903;4.138;4.567;4.242;5.233;4.858;5.796;6.943;7.000;5.882;6.585;6.888;7.020;7.098;7.438;7.728;7.988;8.321;8.489;9.318;8.477;8.495;8.897;8.838
Veranópolis;4322806;-28,9312;-51,5516;1.762;1.785;2.029;2.171;2.328;2.521;2.747;2.709;2.748;2.933;3.006;3.720;3.288;3.410;3.534;3.600;3.969;3.908;4.359;4.133;4.220;4.278;4.101;4.459;4.327;4.275;4.537;4.745
Vespasiano Correa;4322855;-29,0655;-51,8625;-;-;-;-;-;-;1.057;1.172;1.156;1.116;1.439;1.863;1.713;1.678;1.883;1.911;2.235;2.149;2.372;2.556;2.591;2.551;2.588;3.016;2.917;3.040;3.183;3.357
Viadutos;4322905;-27,5716;-52,0211;1.992;1.812;1.413;1.522;1.619;1.776;1.813;2.046;2.232;2.438;2.404;2.508;2.363;2.395;2.463;2.512;2.996;2.869;2.871;2.695;2.606;2.629;2.697;2.749;2.583;2.500;2.538;2.600
Viamão;4323002;-30,0819;-51,0194;10.881;11.321;11.816;11.523;12.271;12.228;12.736;14.131;16.216;15.357;15.652;16.535;17.270;20.452;22.542;23.342;24.457;25.588;24.724;25.762;25.748;27.240;27.760;30.031;28.112;28.916;24.696;27.362
Vicente Dutra;4323101;-27,1608;-53,4022;405;436;454;475;517;527;656;722;853;1.067;1.031;1.053;966;1.016;1.025;1.034;1.129;1.180;1.208;1.167;1.212;1.293;1.257;1.286;1.285;1.299;1.366;1.386
Victor Graeff;4323200;-28,5632;-52,7495;1.472;1.345;1.448;1.423;1.789;1.945;2.100;2.169;2.228;2.420;856;4;3;2;4;9;9;8;8;7;8;8;9;11;12;10;10;12
Vila Flores;4323309;-28,8598;-51,5504;711;752;823;866;895;1.024;1.154;1.444;1.440;1.609;1.710;1.704;1.608;1.738;1.797;1.820;2.045;2.074;2.167;2.065;2.155;2.314;2.411;2.703;2.677;2.631;2.823;2.993
Vila Maria;4323408;-28,5359;-52,1487;278;131;154;153;128;344;761;863;990;1.092;1.130;1.057;768;756;781;702;787;830;837;772;855;933;928;1.032;998;1.025;517;512
Vila Nova do Sul;4323457;-30,3461;-53,876;-;-;-;13;119;121;122;112;156;197;215;237;212;188;201;214;205;201;213;234;283;291;278;291;256;259;301;306
Vista Alegre;4323507;-27,3686;-53,4919;260;269;304;341;442;377;398;397;395;497;475;484;453;469;506;532;648;699;765;797;891;900;916;909;921;912;1.067;1.251
Vista Alegre do Prata;4323606;-28,8052;-51,7946;463;517;528;560;638;627;637;765;782;873;952;1.037;1.026;1.018;1.097;1.127;1.236;1.292;1.383;1.563;1.526;1.620;1.677;1.822;1.858;1.872;1.991;2.085
Vista Gaúcha;4323705;-27,2902;-53,6974;691;783;854;985;1.077;1.195;1.321;1.515;1.588;1.796;1.991;2.151;2.421;2.318;2.540;2.733;2.861;2.770;2.798;2.799;2.850;2.770;2.632;2.824;2.854;2.905;3.056;3.089
Vitória das Missões;4323754;-28,3516;-54,504;-;-;123;172;209;259;277;304;315;329;362;396;403;457;479;503;554;570;558;557;538;566;577;643;633;597;627;651
Xangri-lá;4323804;-29,8065;-50,0519;-;-;49;58;65;141;160;144;140;141;148;157;149;179;229;196;170;148;212;162;174;182;132;155;165;190;214;155
